Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Development status and future research emphase on greenhouse horticultural equipment and its relative technology in China,"With the fast increasing of greenhouse scale, the Chinese greenhouse horticultural equipment industry also developed rapidly in recent years. A complete technology system would be establishing gradually. On account of shortage for influencing mechanism between greenhouse environment and plant demand, poor matching of greenhouse with equipment and low level of the whole equipment manufacturing industry, the level of greenhouse horticultural equipment in China is lower than that in developed country in the aspects of technical content, stability, information and intelligent level. The mechanization rate of greenhouse horticulture in China is only 32.45% in 2012, and there was imbalance of mechanization rate among the processes of greenhouse horticulture such as plough, cultivate, harvest, environmental control and so on. These situation limiting the improvement of effectiveness level and labor productivity of greenhouse horticulture industry in China. After the announcement of Made in China 2025 Action Plan, it is necessary to make a systematic summary for equipment and relative technology of greenhouse horticulture in China, and to point out the research main points of the greenhouse horticultural equipment which play the real supporting function roles in greenhouse horticulture. Based on obtaining the present status of Chinese greenhouse horticulture equipment technology exactly, the level of greenhouse horticulture equipment in China was compared with that in the developed country from the aspects of seeding breeding equipment, cultivation producing equipment, logistics transporting equipment, plant management equipment, and the relative gap between countries was found. Meanwhile, the problems existing in the development of Chinese greenhouse horticulture equipment technology were point out, such as: lacking of systematic and constant research and innovation, shortage of accumulation in agronomic technique matching with equipment, absence of systematic research for future technology, insufficiency of integrity and engineering for equipment. The future key research tasks in Chinese greenhouse horticulture equipment were formulated, such as: 1)long-term collaborative research for regional greenhouse horticultural crop growth mechanism, which conducted the continues monitoring for equipment, environment and crop physiology in multi-span greenhouse, Chinese solar greenhouse in the north of China and plastic film greenhouse in the south of China, and established the relation model between mainly environment parameters and crop yield under different greenhouse equipment conditions in different region; 2)technology research for upgrade and update of Chinese solar greenhouse, which developed the new greenhouse structure and cultivation model to achieve whole year planting, labor force saving, land saving and energy saving; 3) whole industrial chain automatic production technology and equipment research, which developed the equipment for seed breeding, cultivation, harvesting and logistics, to archived vegetable automatic production in greenhouse; 4) research for greenhouse horticulture intelligent management equipment, which developed the information management software for large greenhouse production and established regional greenhouse horticulture cloud computing database; 5) research for non-cultivated land greenhouse equipment, which integrated the water saving irrigation technology and soilless cultivation technology to archive planting in greenhouse in non-cultivated land. The policy suggestions were also put forward such as making greenhouse horticultural equipment technology innovation plan, establishing technology promotion service system and so on. This article should provide an important reference for making future planning and policy by government and scientific research institutions and for guiding the innovation of Chinese greenhouse horticulture equipment technology.",Qi F.; Wei X.; Zhang Y.,Journal,Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,2017-12-15,Ministry of Agriculture of the People's Republic of China;Chinese Academy of Agricultural Engineering,Development status ;  Equipment ;  Greenhouse horticulture ;  Greenhouses ;  Research emphasis ;  Technology
Infectious Optimism following the 10<sup>th</sup> International Oncolytic Virus Meeting,"The 10th International Conference on Replicating Oncolytic Virus Therapeutics was held in Vancouver, Canada from October 1–4, 2016. The agenda for the meeting comprised lectures from several streams within the field of oncolytic viral therapeutics. Exploring the strengthening relationship among oncolytic viruses, cancer immunology, and immunotherapy; gaining an understanding for effective therapeutic delivery routes; and learning of exciting results from translational studies all featured prominently among areas discussed. As the field matures, commercialization and patient-centered research have become important avenues for growth; however, an abundance of high quality laboratory-based science continues to be performed in order to optimize future therapeutic approaches. Here, we summarize the latest innovations presented at this meeting.",Atherton M.; Evgin L.; Keller B.; Shenouda M.; Stephenson K.; Vile R.; Bell J.; Evans D.; Lichty B.,Journal,Molecular Therapy Oncolytics,2017-12-15,McMaster Immunology Research Centre;University of Alberta;Mayo Clinic;Ottawa Hospital Research Institute;Turnstone Biologics,cancer immunotherapy ;  clinical trials ;  oncolytic virus
"Co-benefits of greenhouse gas mitigation: A review and classification by type, mitigation sector, and geography","The perceived inability of climate change mitigation goals alone to mobilize sufficient climate change mitigation efforts has, among other factors, led to growing research on the co-benefits of reducing greenhouse gas (GHG) emissions. This study conducts a systematic review (SR) of the literature on the co-benefits of mitigating GHG emissions resulting in 1554 papers. We analyze these papers using bibliometric analysis, including a keyword co-occurrence analysis. We then iteratively develop and present a typology of co-benefits, mitigation sectors, geographic scope, and methods based on the manual double coding of the papers resulting from the SR. We find that the co-benefits from GHG mitigation that have received the largest attention of researchers are impacts on ecosystems, economic activity, health, air pollution, and resource efficiency. The co-benefits that have received the least attention include the impacts on conflict and disaster resilience, poverty alleviation (or exacerbation), energy security, technological spillovers and innovation, and food security. Most research has investigated co-benefits from GHG mitigation in the agriculture, forestry and other land use (AFOLU), electricity, transport, and residential sectors, with the industrial sector being the subject of significantly less research. The largest number of co-benefits publications provide analysis at a global level, with relatively few studies providing local (city) level analysis or studying co-benefits in Oceanian or African contexts. Finally, science and engineering methods, in contrast to economic or social science methods, are the methods most commonly employed in co-benefits papers. We conclude that given the potential mobilizing power of understudied co-benefits (e.g. poverty alleviation) and local impacts, the magnitude of GHG emissions from the industrial sector, and the fact that Africa and South America are likely to be severely affected by climate change, there is an opportunity for the research community to fill these gaps.",Deng H.; Liang Q.; Liu L.; Anadon L.,Journal,Environmental Research Letters,2017-12-15,University of Cambridge;Beijing Institute of Technology,bibliometric analysis ;  co-benefits ;  co-occurrence analysis ;  geographic level ;  greenhouse gas mitigation ;  methods ;  sectors
Research innovation ability of engineering graduate student: Mechanism of formation and path of improving,"The core key of scientific research innovation ability of engineering graduate student is the integration of knowledge association. According to the micro knowledge integration and thinking associated as the breakthrough point, this paper analysed the formation system of scientific research innovation ability relying on the Hall three-dimensional structure system. It reveals the process mechanism of knowledge absorptive capacity, thinking associated and knowledge integration and the synergy of the trinity. This paper obtained through analysis that exploratory interaction between teachers and students select positive innovation talents, multi-level practical teaching platform building knowledge associated integration field, the dissertation process management for specification ability training is the concrete practice path of engineering graduate student scientific research innovation ability.",Jin Z.; Bowen Z.; Hua J.; Xiaohong W.,Journal,Boletin Tecnico/Technical Bulletin,2017-12-15,Harbin Institute of Technology;Soochow University,Formation mechanism ;  Graduate student ;  Knowledge association integration ;  Research innovation ability
Decentralised laboratories in the German energy transition. Why local renewable energy initiatives must reinvent themselves,"This study addresses research demands for a more critical empirical assessment of the innovation capacity of the decentralised, sub-national level. In Germany, the extensive involvement and contributions of new locally-rooted renewable energy initiatives have been one of the most striking features of the country's energy transition process. This study analyses the enabling conditions, current challenges and future prospects of decentralised experimentation in the German energy system. It finds that whereas the national support scheme has for a long period protected decentralised deployment of renewable energies by locally-rooted actors in the energy field, recent reforms of the scheme now threaten their further participation in the energy market. The paper observes that decentralised initiatives not only struggle to adjust to the new framework conditions. They have also not yet sufficiently addressed the new governance challenges arising from the fact that renewable energies have reached a stage of systemic importance for the whole power system, which requires decentralised initiatives to make their own efforts compatible with overall energy system transition needs. The study concludes that in order to remain an important innovator in the German energy transition, decentralised initiatives have to prove their ability to provide solutions to the systemic challenges of the energy transition process, such as horizontal and vertical multi-level coordination and decentralised contributions to the security of supply.",Beermann J.; Tews K.,Journal,Journal of Cleaner Production,2017-12-15,Freie Universität Berlin,Decentralised experimentation ;  Energy transition ;  Germany ;  Multi-level governance ;  Renewable energy support scheme
Human adenosine A<inf>2A</inf> receptor: Molecular mechanism of ligand binding and activation,"Adenosine receptors (ARs) comprise the P1 class of purinergic receptors and belong to the largest family of integral membrane proteins in the human genome, the G protein-coupled receptors (GPCRs). ARs are classified into four subtypes, A1, A2A, A2B, and A3, which are all activated by extracellular adenosine, and play central roles in a broad range of physiological processes, including sleep regulation, angiogenesis and modulation of the immune system. ARs are potential therapeutic targets in a variety of pathophysiological conditions, including sleep disorders, cancer, and dementia, which has made them important targets for structural biology. Over a decade of research and innovation has culminated with the publication of more than 30 crystal structures of the human adenosine A2A receptor (A2AR), making it one of the best structurally characterized GPCRs at the atomic level. In this review we analyze the structural data reported for A2AR that described for the first time the binding of mode of antagonists, including newly developed drug candidates, synthetic and endogenous agonists, sodium ions and an engineered G protein. These structures have revealed the key conformational changes induced upon agonist and G protein binding that are central to signal transduction by A2AR, and have highlighted both similarities and differences in the activation mechanism of this receptor compared to other class A GPCRs. Finally, comparison of A2AR with the recently solved structures of A1R has provided the first structural insight into the molecular determinants of ligand binding specificity in different AR subtypes.",Carpenter B.; Lebon G.,Journal,Frontiers in Pharmacology,2017-12-14,"Faculty of Science, Engineering and Medicine;Université de Montpellier",Adenosine ;  Drugs ;  G protein ;  GPCR ;  Structural biology ;  X-ray diffraction
Practices of innovative technology and education for sustainability in Taiwan sustainable campus program,"Striving for sustainability has been adopted as a core value and guiding principle for development in the twenty-first century worldwide. Considering the learnings and changes of sustainability in society, especially the connection between software understanding and hardware construction was the key issue for the government. After the Earthquake 921 in 1999, the damages of school buildings started the rethinking of sustainable development in campus. Therefore, the Ministry of Education in Taiwan initiated a national project since 2002 to connect education and practice for sustainability, the Taiwan Sustainable Campus Program (TSCP), which adopt the practices integrated with environmental education and the sustainable renovation in school campuses to transform the sustainable sense from education to change the society. First of all, the Ministry of Education (MOE) organize a technical committee and a research project to set the program mechanism and processes of items with preliminary technical guidelines to guide the school review the problem of existing campus environment in 2002. An integrated process also by demonstration taken the pilot projects as tests to revise the items. In the year of 2003, the 16 items were set to start up the program. These 16 items were set as a step by step renovating processes to help the school working out their own sustainable campus by each unique living environment. Until 2017, more than 778 schools or colleges, about 15.4% of all institutes, have been subsidized by TSCP. At least one sustainable campus can be found in 68% of the smallest administrative units in Taiwan. Hundreds of teaching modules for various subjects, dissemination of sustainable concepts within neighboring communities, and extensive collaboration with grassroots resident for more sustainable societies have been generated and executed. Students learn about the sustainable concepts, ecological environment re-habilitation and green equipment from schools, and bring that home into community. In consideration of lacking the knowledge of adapting sustainable building technology, the Ministry setup the professional committee of sustainable campus to indicate the process of sustainable campus renovation, especially in technologies support and education. Upon the concepts of innovation and integration, ideas including campus rain water management, smart using energy, Bio-climatic control for thermal condition, and high endurance campus have been implemented. On the other hand, examples from higher institution, such as 'The Green Campus Program of NTUT' and 'Magic School of Green Technologies in NCKU', have also demonstrated the TSCP intention of sustainable development based on innovative technology and education. The success of TSCP for its implementation mechanisms and achievements is evident by the high involvements of number of institutions as well as voluntary and productive participation. This successful experience encourages all sectors involved who aims to construct sustainable living environment, and influences the industry changing attitude into sustainable product development. At the same time, the 15 years-long project make the new young generations can have the sense to change the society from now.",Li Y.; Chen H.; Shao W.; Jing S.; Chiu F.; Su H.,Conference Proceeding,"Proceedings of the 2017 Pacific Neighborhood Consortium Annual Conference and Joint Meetings: Data Informed Society, PNC 2017",2017-12-13,Shu-Te University;National Cheng Kung University;National Taipei University of Technology;Chia-Nan University of Pharmacy and Science Taiwan;Ministry of Education;National Taitung Junior College,Campus Renovation ;  Ecological solution ;  Energy Consumption ;  Sustainable Campus
Studying the phenomenon of developing interest in learning how to code: What happens to the interest of brazilian undergraduates over an introductory experience,"In some CS0 settings, innovation and use of technology are not always an option due to costs, poor internet infrastructure and cultural aspects of teaching. It also happens that students are not familiar with CS since they are not educated about it at schools. These circumstances pose a more challenging situation in terms of encouraging beginners to become interested in this subject during an introductory course. In this study, we were motivated to study interest for learning coding in naturalistic contexts and from a dynamic point of view. To investigate it in this fashion, the Four-Phase Model of Interest Development was used. Based on an in-depth and a qualitative design, two groups of Brazilian beginners were observed. In this paper, we present how their interests have unfolded and why changes happened. Contextual factors, such as level of structure around the teaching process and tasks, and the educator's attitudes, emerged as positive influences. By understanding why beginners felt interested in engaging with coding, the role of some human factors in these learning experiences came up. Some students were not skilled at self-regulating. Also, when their beliefs of being able to learn coding dropped, willingness to engage was negatively affected. This study brings a non-fragmented view of the process of interest development in learning coding and its complexity. The findings highlight a need for educators to become more informed about how this process takes place and what individual characteristics are involved with it. To some students a motivational learning environment must be thought of not only in terms of a technical point of view, but also in terms of adjusting educators' expectations and discussing how to better manage human factors that play an important role in introductory experiences.",Scaico P.; De Queiroz R.; Dias J.; Scaico A.,Conference Proceeding,"Proceedings - Frontiers in Education Conference, FIE",2017-12-12,Universidade Federal de Pernambuco;Universidade Federal da Paraíba,CS0 course ;  Interest development ;  Programming education ;  Qualitative research ;  Trajectories of interest
"Longitudinal analysis of instructor actions in an active, blended, and collaborative classroom environment","In recent years, there has been a call for Engineering Education to adopt innovative pedagogical techniques. One such innovation is Purdue University's Freeform environment for teaching undergraduate engineering courses. Freeform aims to enhance student learning with an Active, Blended, and Collaborative (ABC) learning environment. The majority of research into the Freeform environment thus far has focused on student outcomes and the tools Freeform uses rather than instructional practice [1-3]. However, with the growth of Freeform and other ABC environments, the lack of actionable feedback available to instructors about their role and practices is becoming increasingly apparent. Therefore, with the goal of building on the characterization of Freeform and ABC pedagogies in general, this paper presents a one-semester longitudinal analysis of two instructors and comparisons of their actions in this environment. The study concludes that these two instructors retain individuality in their pedagogical choices and adapt their instruction to the material presented while staying within the Freeform ABC ethos throughout the semester.",Zadoks A.; Stites N.; Evenhouse D.; Patel N.; Kandakatla R.; Berger E.; Rhoads J.; DeBoer J.,Conference Proceeding,"Proceedings - Frontiers in Education Conference, FIE",2017-12-12,Purdue University,Active ;  Blended ;  Collaborative ;  Instructor ;  Learning environment ;  Video coding
Do engineering creativity/innovation courses impact engineering innovativeness?,"Through five years of previous NSF-sponsored research working with engineering education programs and major U.S. Corporations, we have identified the most important characteristics of engineering innovators (across and in each phase of the innovation process) and validated a new instrument (ABAKAS = Assessment of Behaviors, Attitudes, Knowledge, Attributes, and Skills) to assess them. In our context, an innovation is a product, process, or concept that has been discovered, developed, and implemented in a sustainable manner in a community. The innovation process is therefore defined to have a beginning (discovery), a middle (development) and a completion phase (implementation). Claims on how to create innovations or be more innovative are as popular as diet plans, but these claims are not connected by evidence to engineering student learning experiences and outcomes. Courses with titles like 'Innovation and Creativity for Engineers' have not provided assessment evidence that these courses positively impact or enable the characteristics that we now know comprise engineering innovativeness. Our key research question is: What is the impact of Creativity/Innovation courses and their ilk (individually or as a sequence) on the engineering innovativeness characteristics of engineering students?",Ferguson D.; Li W.; Weaver J.; Ochs J.; Jablokow K.; Bell-Huff C.; Newstetter W.,Conference Proceeding,"Proceedings - Frontiers in Education Conference, FIE",2017-12-12,Georgia Institute of Technology;Purdue University;Lawrence Tech.;Penn State;Mercy College of Detroit;Lehigh,Engineer ;  Engineering innovativeness ;  Innovation
Exploring meaning-making and innovation in makerspaces: An ethnographic study of student and faculty perspectives,"In academic makerspaces, students explore innovative practices. Whether they see these spaces as a means to pursue innovation, however, remains to be understood. This paper examines how makerspaces and innovation are connected by the meanings that students and faculty attribute to makerspaces. Ethnographic techniques were used as the methodology to uncover these meanings. The findings presented in this paper are from the Fall 2016 semester where one graduate researcher explored and observed the engineering makerspaces, an elite student group, and an interdisciplinary collaborative research team. Through the field notes, meanings of interaction, functionality, environment, and innovation provide insight into how students and faculty perceive the value and impact of engineering makerspaces.",Tomko M.; Linsey J.; Nagel R.; Alemán M.,Conference Proceeding,"Proceedings - Frontiers in Education Conference, FIE",2017-12-12,The George W. Woodruff School of Mechanical Engineering;James Madison University,Ethnography ;  Makerspaces ;  Meanings
Engineering education funding at the National Science Foundation,"The goal of this session is to increase the participants' knowledge of current funding opportunities at the National Science Foundation (NSF) to support projects with potential significant impacts on science, technology, engineering, and mathematics (STEM) education. In particular, the discussion will focus on new and current funding opportunities in the Division of Undergraduate Education (DUE) in the Directorate of Education and Human Resources (EHR) and the Division of Engineering Education & Centers (EEC) in the Directorate of Engineering. During the session, we will provide examples of project activities that support STEM education research opportunities. The session will use a highly interactive format (i.e., team-based activities and discussion) to engage the participants, to clarify misconceptions, and to potentially initiate and share new ideas pertinent to engineering education research and innovations in classroom implementations. This session facilitates idea sharing and interaction amongst peers.",Douglas E.; Ilumoka A.; Watson H.,Conference Proceeding,"Proceedings - Frontiers in Education Conference, FIE",2017-12-12,National Science Foundation,Engineering education ;  Funding opportunities ;  National Science Foundation
SMART START: Designing impact-driven projects,"The FIE conference has throughout its history emphasized work at the frontiers of education. This preconference workshop reflects a policy shift at the National Science Foundation, Department of Education, and Department of Defense, and others who have adopted the I-Corps™ model to extend the longevity and the value of initially funded projects. This cutting-edge workshop introduces the core features of the Lean Startup process; namely, (1) search for a sustainable and scalable model using the Business Model Canvas, (2) Customer discovery, and (3) Agile engineering (i.e., iterate and increment towards an appropriate product, program or service)-all of which have been identified as essential for maximizing the longevity and impact of research projects and products. SMART START resonates with the conference theme - Educating Our Future, Honoring Our History - honoring the tradition of excellence in engineering innovation while exploring a new paradigm that strives to build impact into earlier stages of research. The workshop will provide participants (a) a framework to think about how to discover customer requirements, (b) how to sustain and scale STEM education innovations, (c) exposure to the NSF I-Corps™ program, and (d) an opportunity to connect and engage with peers interested in the increasing the impact of their research.",Smith K.; Guerra R.; Korte R.,Conference Proceeding,"Proceedings - Frontiers in Education Conference, FIE",2017-12-12,American Society for Engineering Education;Purdue University;The George Washington University,Entrepreneurship ;  Impact ;  Innovation
"Special session - A framework for engineering student innovation that connects cognitive, psychological, and cultural aspects of learning","Engineering is inherently an innovative profession with design at the center of its core practices. Over the last decade, its importance for engineering students has heightened with the emergence of policy efforts and the rise of collegiate programs developed to support student innovation. Yet, research on how engineering students approach and experience innovation has been limited. During this special session, our goal is to present a framework for engineering student innovation along with research findings that informed the development of this framework. We will engage the audience in discussion of how this framework and related studies can inform teaching and student learning.",Purzer Ş.; Fila N.,Conference Proceeding,"Proceedings - Frontiers in Education Conference, FIE",2017-12-12,College of Engineering;Purdue University,Cognitive ;  Cultural ;  Framework ;  Innovation ;  Psychological
Increase your project's success through coordinated communication: Research and practice,"Engineering education researchers focus on research, putting research into practice, and creating innovative practice. These foci require meaningful communication that elicits a desired response (e.g. adoption of innovation). Innovation advocates and change agents know that communication is critical to a project's success. Without expertise in rhetoric, communications present significant challenges, but they are known challenges in the organizational change literature. We view a focus on communication as a major empowerment tool for advocates and change agents, thereby positively impacting the reach of innovative practices and research into our engineering classrooms. This workshop centers on providing a framework for communication, allies in communication efforts, and best practices in communicating change. We request no more than 40 participants and require only projection capabilities for audio-visual equipment.",Ingram E.; Sukumaran B.; Forin T.; Litzler E.,Conference Proceeding,"Proceedings - Frontiers in Education Conference, FIE",2017-12-12,Henry M. Rowan College of Engineering;Rose Hulman Institute Technology;University of Washington,Advocacy ;  Change ;  Communication strategies ;  Faculty development ;  Higher education
