Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Making the Innovation of Smartcity through Municipal Bond Publishing,"The purpose of this paper is to know the various obstacles in the issuance of municipal bonds by local governments as well as the relationship of problem solving on the publication. The research methodology of the study was conducted in a way to verify data obtained from local and central government then tried to problem solving with a similar pattern of comparison in the State of Malaysia. Primary and secondary data are then analyzed and evaluated normative juridical. Finding of the research conducted by the Capital Market Supervisory Board there is a trend of positive law concerning the issuance of municipal bonds has been made yet implemented by the Central Government Local Government appear inconsistencies. Excessive licensing process by the Central Government is not in line with rational quality, readiness and potential of the region. Quantity areas analyzed at the time a row is Jembrana Local Government, Local Government Bandar Lampung, Medan Local Government andLocal Government Tabanan. Problem of availability of funds for regional development is one of the main things that faced by all regions of the world, especially developing countries, including Indonesia. Utilization of funds from the public contributes to the success of regional development, especially through alternative municipal bond issuance. All elements of both investors Local Government and the Center have important role aspects. The role of the central government initiated since the manufacture of various statutory provisions and licensing provision relating to the issuance process. Local Government as the publisher and owner of the project, while investors concerned about the return on investment funds according the agreement between them. Knowledge of good financial management area and also the position of the object transparent collateral is one of the important things as a form of responsibility for Local Government in the event of default.",Sulaksono A.; Yunarko B.; Karjati P.; Noerhartati E.; Muharlisiani L.,Conference Proceeding,Journal of Physics: Conference Series,2019-12-18,Universitas Wijaya Kusuma Surabaya,Credit Agreement ;  Fiduciary Agreement and Insurance (schade verzekering) ;  Leasing Agreement ;  Novation Agreement ;  Sewabeli Agreement
The Implementation of Innovation in Educational Technology to Improve the Quality of Website Learning in Industrial Revolution Era 4.0 Using Waterfall Method,"Implementation of learning technology is one of the necessary ways to demonstrate the competence of qualified graduates. This research aim to make model of website Implementation to improve student quality. The Current Study Provided only provides the existing General Implementation. The Participants of this study were lecturers, undergraduate and postgraduate students and education practitioners throughout Indonesia using online form. Data collection Methods used were direct interview, online survey and needs analysis using waterfall method. The results show that the implementation of existing learning does not lead to the needs in the industry era 4.0 almost no change. This research produces a complete learning implementation innovation as required by the Policy Makers.",Sudrajat D.; Achdisty M.; Kurniasih N.; Roslina.; Parwito.; Mulyati S.; Purnomo A.; Sallu S.,Conference Proceeding,Journal of Physics: Conference Series,2019-12-18,Institut Pendidikan Indonesia;Bina Nusantara University;Informatics Engineering;Faculty of Information Technology Universitas Sembilan Belas November;Universitas Panca Sakti;Universitas Ratu Samban;Universitas Sembilanbelas November;Faculty of Communication Science,
A Design of Innovation in Educational Technology to Improve the Quality of Website Learning in Industrial Revolution Era 4.0 Using Waterfall Method,"The purpose of this study was to make detailed learning design in accordance with the needs of educational institutions. Learning Technology Design is one of the necessary ways to improve the qualified graduates' competence. This research aimed to make a learning model website to improve students' quality. This current study only provides general learning model. The participants of this study were lecturers, undergraduate and postgraduate students and educational practitioners throughout Indonesia using online form. Data collection techniques used in this study were in depth interview as well as online survey and a need analysis using waterfall method. The result showed that the existing learning model until now has not yet given any changes. This research generates an innovation in the learning model as needed by the Policy Makers.",Bahrani.; Hidayati N.; Listyorini T.; Listiawan T.; Kartini Y.; Chusna N.; Sofyanti Y.; Sallu S.,Conference Proceeding,Journal of Physics: Conference Series,2019-12-18,Setia Budi University;Universitas Muria Kudus;Faculty of Teacher Training and Education;Information Technology;Faculty of Engineering;STKIP PGRI Tulungagung;Faculty of Information Technology;Faculty of Teacher Training and Education,
Virtual lab for vocational education in Indonesia: A review of the literature,"One of the innovations which has a major impact on education in the era of industrial revolution 4.0 is virtual laboratory. Virtual lab accommodates practical education with all limitations that exist, like tools and materials of practical equipment in schools which isn't in line with the current technology. Although virtual laboratories have been realized as a supporting tool in learning process, their applications in vocational education have not been extensively explored yet. With the learning characteristics of the vocational which are a fairly large proportion of practical compared to theoretical activities. This paper reviews the latest developments of virtual labs to gain insight into the various virtual laboratories that may relevant to vocational education. This study used a systematic literature review of selected research papers based on relevant keywords of the virtual lab in vocational education. Insights from the papers reviewed subsequently were developed to elaborate on the use of a virtual lab to be applied in vocational education. Practical learning in vocational education with a virtual lab becomes more flexible without limited space and time. In terms of financing, the development of a virtual lab doesn't require a large amount of investment if compared with actual laboratory development. For a long period of implementation, there must be added a basic learning process before used, the user has to get experience-based learning first that emphasizes the role of active experience and student involvement. The virtual lab can be applied to practical learning in vocational education, for example in the field of mechanical engineering it can be applied in learning to maintain fuel systems on the engine, with characteristics in the form of procedural steps. The virtual lab can be applied to facilitate students in the learning process so the learning efficiency can increase significantly.",Sasongko W.; Widiastuti I.,Conference Proceeding,AIP Conference Proceedings,2019-12-18,Universitas Sebelas Maret,
"Articulating 'free, prior and informed consent' (FPIC) for engineered gene drives","Recent statements by United Nations bodies point to free, prior and informed consent (FPIC) as a potential requirement in the development of engineered gene drive applications. As a concept developed in the context of protecting Indigenous rights to self-determination in land development scenarios, FPIC would need to be extended to apply to the context of ecological editing. Without an explicit framework of application, FPIC could be interpreted as a narrowly framed process of community consultation focused on the social implications of technology, and award little formal or advisory power in decision-making to Indigenous peoples and local communities. In this paper, we argue for an articulation of FPIC that attends to issues of transparency, iterative community-scale consent, and shared power through co-development among Indigenous peoples, local communities, researchers and technology developers. In realizing a comprehensive FPIC process, researchers and developers have an opportunity to incorporate enhanced participation and social guidance mechanisms into the design, development and implementation of engineered gene drive applications.",George D.; Kuiken T.; Delborne J.,Journal,Proceedings of the Royal Society B: Biological Sciences,2019-12-18,NC State University,Community engagement ;  Convention on Biological Diversity ;  Indigenous peoples ;  Public engagement ;  Responsible research and innovation ;  Synthetic biology
Digitally Coupled Learning and Innovation Processes,"As engineering education is being forced to evolve, we have been experimenting with four focus areas designed to connect markets and universities, with students transporting the information between them. (1) Shared digital platforms use the same principles of reach and scalability that characterize such businesses as Airbnb and Amazon. (2) Enhanced processes of career discovery draw on a simple 1-page self-diagnostic as well as on a data-centric view of the skills market. (3) Getting market data to inform more classroom (and classroom-related) aspects of pedagogy, including problem-based learning and particular skills, has proven to bring positive outcomes. Finally, (4) focusing and enhancing students' and interns' experiences provides a further method of connecting classrooms and laboratories to market behavior and developing new research to market programs. These four focus areas constitute key aspects of a connected and integrated model in which learning and innovation are seen as complementary efforts.",Alger M.; Jordan J.; Velegol D.,Journal,Industrial and Engineering Chemistry Research,2019-12-18,Penn State College of Engineering;School of Information Studies,
How online media and technology innovation influence consumer's purchase intention,"This research experiment is to know how online media and technology innovation influence consumer's purchase intention. The sample of this research were the students of UPI ""yptk"" Padang who followed the @ Indonesia.Jersey Instagram. There were 100 respondents. The result of the research had the positive and significant influence of online media and technology innovation toward the consumer's purchase intention. This research has contributed to increase sales with online marketing.",Rizki Mulyani S.; Widian Sari M.; Nila Sari V.; Navia Rani L.; Syahrullah Ekajaya D.,Conference Proceeding,Journal of Physics: Conference Series,2019-12-16,Universitas Putra Indonesia,
Design of mechatronic simulators to improve the quality of students learning outcomes in mechatronics subject,"Today condition in learning mechatronics subject, especially at Universitas Pendidikan Indonesia Departemen Pendidikan Teknik Elektro still uses learning object and software simulations. This still has not maximized student's competency in the mechatronics subject, which is required to be skilled in real engineering that will be applied both in the industry and in educational institutions. According to the Universitas Pendidikan Indonesia research master plan which establish its vision to be a Pioneer and Superior University in the field of education, then research on learning innovation is directed to aspects of learning, that is research on learning models, learning media, organizing learning implementation plans, organizing learning materials, and evaluation systems. Learning innovation products generated from this research are expected to be a reference and become the main pillar for all academic units in the UPI environment in implementing learning. Based on the above idea, the researcher proposes to develop a learning media that is corresponding with the requirement of mechatronics subject in the competency based on applicative design mechatronics simulator. The method used in this research is quantitative method with research and development approach. The excellent research of the college with the title ""Design Mechatronics Simulators to Improve the Quality of Student Learning On Mechatronics Subject"" is a research needed to implement a design that serves as a learning media to improve learning outcomes and student's competency in mechatronics subjects.",Kustija J.; Hasbullah H.; Somantri Y.,Conference Proceeding,Journal of Physics: Conference Series,2019-12-16,Universitas Pendidikan Indonesia,
Application of augmented reality technology in biological learning,"The writing of this paper aims to introduce Augmented Reality technology to the world of education in schools in Indonesia precisely in Biology learning. Previously there have been several studies discussing the application of Augmented Reality technology to the world of learning but the object of research that was studied was too broad, while the research that the author did was more focused on learning biology. The research method used in this paper is a descriptive research method by giving questions in the form of questionnaires to 50 respondents. Augment Reality technology in its application to Biology learning is expected to contribute innovation and add variations in existing learning media before, from the results of research conducted, it was found that Augmented Reality technology received many positive responses in its application to the world of education. Augmented Reality can be made using some software that is used such as 3D Blender, Unity and other supporting software. With the application of Augmented Reality technology in the world of education is expected to be able to add learning methods to be more interactive and interesting.",Erwinsah R.; Aria M.; Yusup Y.,Conference Proceeding,Journal of Physics: Conference Series,2019-12-16,Universitas Komputer Indonesia,
The development of chemistry students' 21 century skills through a STEAM project on electrolyte and non-electrolyte solutions,"This paper portrays a study into the integration of a Science, Technology, Art, Engineering, and Mathematics (STEAM) project in chemistry learning of electrolyte non-electrolyte solutions for developing 21st-century skills. Thirty-two, year-10 students engaged in the study. The research employed qualitative methodology with multiple modes of data collection via semi-structured interviews; classroom observations, reflective journals, and documentation were guided by a 21st-century skills rubric. In addition, the project was assessed against the criteria of project development, STEAM integration, and product quality. Students designed an innovative project, integrating STEAM in developing and making a miniature LED by using the natural electrolyte solution sources, such as lemon, lime, apples, and salt water. Students created posters and video projects for presentation in a project exhibition. Students were able to integrate their knowledge from various fields to solve problems and create new innovations. The students used the 21st-century skills of collaboration, communication, critical thinking, creativity and innovation alongside technology as a tool for learning. The engaging learning environment encouraged students to develop their skills and chemistry conceptual understanding.",Rahmawati Y.; Agustin M.; Ridwan A.; Erdawati E.; Darwis D.; Rafiuddin R.,Conference Proceeding,Journal of Physics: Conference Series,2019-12-16,Universitas Halu Oleo;Universitas Negeri Jakarta,
Review TVET learning innovation: Augmented reality technology for virtual 3D laboratory,"Currently the trend of using Virtual Augmented Reality (VAR) technology in the field of vocational studies has become a very sexy research topic with visual features that can display objects in 3D, Virtual Augmented Reality can help many things, especially in creating innovation in various industries. In this literature study, the advantages and disadvantages of VAR are clearly described in terms of developing a three-dimensional virtual laboratory for innovation in learning vocational techniques. Unfortunately, some technical problems of VAR technology cannot be fully implemented into vocational engineering learning. The purpose of this study is to show a study of the application of VAR technology with a literature review system method in an appropriate three-dimensional virtual laboratory framework. This analysis is carried out by screening a number of publications of up to 30 major studies published from 2009 to 2018. The results show the low application of VAR technology in education and the increasing application of VAR in industrial environments that lead to high complexity for selecting and developing vocational engineering learning with the VAR system. Subsequent research was also proposed to design and implement AR technology integration into a virtual three-dimensional laboratory specifically for vocational engineering.",Dede D.; Abdullah A.; Mulyanti B.; Rohendi D.,Conference Proceeding,Journal of Physics: Conference Series,2019-12-16,Universitas Pendidikan Indonesia;Study Program of Information Engineering,
Research Development in Engineering Management Theory under Problem-oriented Paradigm,"With the development of engineering practice and correlative theories, the engineering management discipline has grown rapidly, but a mature theoretical system has not yet been established. For the purpose of understanding the status of engineering management theory research and improving the theoretical system, the paper presented a review on the theoretical research results. Based upon the practical problems faced in the practice of China, five themes of theoretical research were concluded including philosophical thinking of engineering management, multi-target group decision making in engineering, temporary intermediate organizations under different research paradigms, integrated control of engineering objectives, and technical innovation oriented towards solving engineering problems. Based on the five themes, literature research was conducted and latest trends of the current engineering management theory research were summarized. The results show that the above-mentioned research achievements are scattered. For the sustainable development of the discipline, a complete theory system should be established. Under the guidance of the theory system, basic concept is being unified, and the field of investigation is being defined, which will result in effective knowledge accumulation in the engineering management discipline.",Feng J.; Wang M.,Journal,Tiedao Xuebao/Journal of the China Railway Society,2019-12-15,Central South University,Discipline development ;  Engineering management ;  Progress in theoretical research ;  Theory system
Green technology innovation development in China in 1990–2015,"Patent data present a number of advantages compared to other alternative measures of innovation. This paper presents research on the use of environmentally relevant technology patent data using a comprehensive analysis method to analyze the development of green technology innovation in China in 1990–2015. From the analysis, it can be concluded that during the period of 2000–2015, China's environmental-related technology innovation made great progress and was at the forefront of green technology growth; in particular, the areas of water and wastewater treatment, solar photovoltaic (PV) energy, lighting, improvements related to bulk or fine chemicals or pharmaceuticals, electric vehicles, and other technologies made great achievements. These technologies are closely related to environmental policies, such as climate change mitigation and green industry transformation, for which China has been advocating for more than a decade. However, after analyzing China's green development, it was found that, although some of the indicators, environmental-related patents, and green developments have made great progress, complete reliance on green technology is far off in the future.",Wang Q.; Qu J.; Wang B.; Wang P.; Yang T.,Journal,Science of the Total Environment,2019-12-15,Northwest Institute of Eco-Environment and Resources;Lanzhou University,Environmental-related technology patent ;  Green development ;  Green innovation ;  Green technology
Educational Robotics as a Teaching tool in higher education institutions: A bibliographical analysis,"The incorporation of robotics as an educational tool in higher education institutions has represented in recent years an innovative mechanism towards improving the teaching of mathematics, physics, and development of control software. This work shows our research about the use of efficient robotics in educational processes in higher education institutions and their perspectives of new innovations towards teaching in engineering, health sciences, biology, chemistry, physics, etc. Bibliometric tools were used to analyze the evolution of educational robotics as an element that contributes to the improvement of teaching and involvement in teaching methods used by teachers.",Sánchez H.; Martínez L.; González J.,Conference Proceeding,Journal of Physics: Conference Series,2019-12-13,Universidad del Magdalena,
"International Conference on Civil Engineering, Environment Resources and Energy Materials, CCESEM 2019 - Preface",The proceedings contain 254 papers. The topics discussed include: discrete element simulation and parameter selection about triaxial test of cohesive soil containing calcareous nodules; measurement and study on the torque coefficient of ordinary bolts before and after galvanization; application of marine oil spill model based on Monte Carlo method in Laoshan Bay; screening tests of copper mine tailings flocculation with polyacrylamide; economic analysis of condensing exhaust air heat recovery fresh air all-in-one unit in Hangzhou area; performance test analysis on fan coil unit and improved induction air unit system; dynamic correlation analysis of construction industry development level and science and technology innovation; and research on comprehensive optimization of engineering project based on non-radial super-efficiency DEA.,,Conference Proceeding,IOP Conference Series: Earth and Environmental Science,2019-12-13,,
"International Conference on Civil Engineering, Environment Resources and Energy Materials, CCESEM 2019 - 3. Energy Chemical Engineering and Environmental Coordination Materials",The proceedings contain 254 papers. The topics discussed include: discrete element simulation and parameter selection about triaxial test of cohesive soil containing calcareous nodules; measurement and study on the torque coefficient of ordinary bolts before and after galvanization; application of marine oil spill model based on Monte Carlo method in Laoshan Bay; screening tests of copper mine tailings flocculation with polyacrylamide; economic analysis of condensing exhaust air heat recovery fresh air all-in-one unit in Hangzhou area; performance test analysis on fan coil unit and improved induction air unit system; dynamic correlation analysis of construction industry development level and science and technology innovation; and research on comprehensive optimization of engineering project based on non-radial super-efficiency DEA.,,Conference Proceeding,IOP Conference Series: Earth and Environmental Science,2019-12-13,,
"International Conference on Civil Engineering, Environment Resources and Energy Materials, CCESEM 2019 - 4. Electric Power Engineering and Control System",The proceedings contain 254 papers. The topics discussed include: discrete element simulation and parameter selection about triaxial test of cohesive soil containing calcareous nodules; measurement and study on the torque coefficient of ordinary bolts before and after galvanization; application of marine oil spill model based on Monte Carlo method in Laoshan Bay; screening tests of copper mine tailings flocculation with polyacrylamide; economic analysis of condensing exhaust air heat recovery fresh air all-in-one unit in Hangzhou area; performance test analysis on fan coil unit and improved induction air unit system; dynamic correlation analysis of construction industry development level and science and technology innovation; and research on comprehensive optimization of engineering project based on non-radial super-efficiency DEA.,,Conference Proceeding,IOP Conference Series: Earth and Environmental Science,2019-12-13,,
Review and evaluation of the research status of science and technology innovation index,"At present, technological innovation has become the most important competitiveness of a country. Starting from the scientific and technological innovation index, this paper firstly reviews the research status and evaluation criteria of science and technology innovation index at multiple levels such as the national, regional, and enterprise levels. Then the practice of the current science and technology innovation index is systematically combed and studied. Finally, on the basis of literature review and status quo, this paper reviews the current research on sci-tech innovation index, and points out that selecting appropriate index system according to different stages of economic development and different levels of sci-tech development is the foundation of constructing sci-tech innovation index.",Chang Y.; Shi Y.,Conference Proceeding,IOP Conference Series: Earth and Environmental Science,2019-12-13,,
Dynamic Correlation Analysis of Construction Industry Development Level and Science and Technology Innovation,"This paper analyzes the relationship between the technological innovation of the construction industry and the development level of the construction industry from the perspective of input and output in the construction industry. Using the time series data from 1995-2017, a vector autoregressive (VAR) model was established. The article uses co-integration analysis, Granger causality test, impulse response function and variance decomposition method to study the index variables. The long-term equilibrium relationship and short-term fluctuation effects between China's construction industry development, construction industry science and technology innovation investment and output are analyzed. The results show: there are long-term equilibrium relationships and one-way causal relationships between the three variables, and there is time lag. The output of science and technology innovation in the construction industry is positively responded to itself, the development level of the construction industry and the investment in science and technology innovation in the construction industry. Among them, it is most affected by the fluctuation of investment in science and technology innovation. Compared with the development level of the construction industry, the contribution of scientific and technological innovation to the output of scientific and technological innovation is even greater. Finally, relevant policy recommendations for the development of the construction industry and technological innovation in the construction industry are given.",Wang Q.; Qi Y.,Conference Proceeding,IOP Conference Series: Earth and Environmental Science,2019-12-13,North China University of Technology,
