Title,Abstract,Authors,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Delay-Doppler Signal Processing with Zadoff-Chu Sequences,"Much of theengineeringbehind current wireless systems has focused on designing an efficient and high-throughput downlink to support human-centric communication such as video streaming and internet browsing. This paper looks ahead to design of the uplink, anticipating the emergence of machine-type communication (MTC) and the confluence of sensing, communica…▽ More",Sandesh; Imran; Venkatesh K.; Beyza D.; Saif; Krishna N.; Robert C.,,,2024-12-05,,
A Formalization of Top-Down Unnesting,"When writing SQL queries, it is often convenient to use correlated subqueries. However, for the databaseengine, these correlated queries are very difficult to evaluate efficiently. The query optimizer will therefore try to eliminate the correlations, a process referred to as unnesting.
  Recent work has introduced a single pass top-down algorithm for unnest…▽ More",Thomas N.,,,2024-12-05,,
A Spatial-Domain Coordinated Control Method for Connected and Automated Vehicles at Unsignalized Intersections Considering Motion Uncertainty,"Cooperative driving of connected and automated vehicles (CAVs) emerges as a promising solution to enhance traffic safety, efficiency, and sustainability. Meanwhile, mixed traffic, where CAVs coexist with conventional human-driven vehicles (HDVs), represents an upcoming and necessary stage in the development of intelligent transportation systems. Considering the motion uncertainty of HDVs, this pap…▽ More",Tong Z.; Nikolce M.; Wei S.,,,2024-12-05,,
YOLO-CCA: A Context-Based Approach for Traffic Sign Detection,"Traffic sign detection is crucial for improving road safety and advancing autonomous driving technologies. Due to the complexity of driving environments, traffic sign detection frequently encounters a range of challenges, including low resolution, limited feature information, and small object sizes. These challenges significantly hinder the effective extraction of features from traffic signs, resu…▽ More",Linfeng J.; Peidong Z.; Ting B.; Haoyong Y.,,,2024-12-05,,
Integrated Minimum Mean Squared Error Algorithms for Combined Acoustic Echo Cancellation and Noise Reduction,"In many speech recording applications, noise and acoustic echo corrupt the desired speech. Consequently, combined noise reduction (NR) and acoustic echo cancellation (AEC) is required. Generally, a cascade approach is followed, i.e., the AEC and NR are designed in isolation by selecting a separate signal model, formulating a separate cost function, and using a separate solution strategy. The AEC a…▽ More",Arnout R.; Toon; Jan W.; Marc M.,,,2024-12-05,,
Representation Purification for End-to-End Speech Translation,"Speech-to-text translation (ST) is a cross-modal task that involves converting spoken language into text in a different language. Previous research primarily focused on enhancing speech translation by facilitating knowledge transfer from machine translation, exploring various methods to bridge the gap between speech and text modalities. Despite substantial progress made, factors in speech that are…▽ More",Chengwei Z.; Yue Z.; Rui Z.; Yidong C.; Xiaodong S.,,,2024-12-05,,
SCADE: Scalable Command-line Anomaly DetectionEngine,"…(LOL) attacks, where standard detection tools frequently miss or misclassify anomalous command-line behavior. We introduce Scalable Command-Line Anomaly DetectionEngine(SCADE), who addresses these challenges by introducing a dual-layered detection framework that combines a global statistical analysis with local context-specific anomaly detection, innovativ…▽ More",Vaishali V.; Anjali M.,,,2024-12-05,,
Model-Agnostic Meta-Learning for Fault Diagnosis of Induction Motors in Data-Scarce Environments with Varying Operating Conditions and Electric Drive Noise,"Reliable mechanical fault detection with limited data is crucial for the effective operation of induction machines, particularly given the real-world challenges present in industrial datasets, such as significant imbalances between healthy and faulty samples and the scarcity of data representing faulty conditions. This research introduces an innovative meta-learning approach to address these issue…▽ More",Ali P.; MohammadSadegh K.; Ali A.; Abolfazl V.; Gholam; Akbar R.,,,2024-12-05,,
Compliant Self Service Access to Secondary Use Clinical Data at Stanford Medicine,"STARR (STAnford Research Repository) is a clinical research support ecosystem that supports basic science research, population health research and translational research at Stanford University. STARR consists of raw and analysis ready multi-modal data, and tools for cohort analysis and self service data access. STARR data is accessible on secure shared computing systems for ad hoc analysis. Also p…▽ More",SC W.; J P.; G O.; D L.; S M.; S B.; E L.; S D.; TA F.,,,2024-12-05,,
3D Part Segmentation via Geometric Aggregation of 2D Visual Features,"…rendering and textual prompting to identify object parts. However, naively applying VLMs in this context introduces several drawbacks, such as the need for meticulous promptengineering, and fails to leverage the 3D geometric structure of objects. To address these limitations, we propose COPS, a COmprehensive model for Parts Segmentation that blends the sema…▽ More",Marco G.; Riccardo T.; Davide B.; Massimiliano M.; Nicu S.; Fabio P.,,,2024-12-05,,
Ternary Stochastic Neuron -- Implemented with a Single Strained Magnetostrictive Nanomagnet,"Stochastic neurons are extremely efficient hardware for solving a large class of problems and usually come in two varieties -- ""binary"" where the neuronal statevaries randomly between two values of -1, +1 and ""analog"" where the neuronal state can randomly assume any value between -1 and +1. Both have their uses in neuromorphic computing and both can be implemented with low- or zero-energy-barrier…▽ More",Rahnuma R.; Supriyo B.,,,2024-12-05,,
Quantifying the Limits of Segment Anything Model: Analyzing Challenges in Segmenting Tree-Like and Low-Contrast Structures,"Segment Anything Model (SAM) has shown impressive performance in interactive and zero-shot segmentation across diverse domains, suggesting that they have learned a general concept of ""objects"" from their large-scale training. However, we observed that SAM struggles with certain types of objects, particularly those featuring dense, tree-like structures and low textural contrast from their surroundi…▽ More",Yixin Z.; Nicholas K.; Kevin K.; Maciej,,,2024-12-05,,
New Methods for Computer Tomography Based Ion Thruster Diagnostics and Simulation,"Non-destructive X-ray imaging of thruster parts and assemblies down to the scale of several micrometers is a key technology for electric propulsion research andengineering. It allows for thorough product assurance, rapid state acquisition and implementation of more detailed simulation models to understand the physics of device wear and erosion.
  Being able…▽ More",Jörn K.; Felix R.; Jochen S.,,,2024-12-05,,
Physics-informed Deep Learning for Muscle Force Prediction with Unlabeled sEMG Signals,"Computational biomechanical analysis plays a pivotal role in understanding and improving human movements and physical functions. Although physics-based modeling methods can interpret the dynamic interaction between the neural drive to muscle dynamics and joint kinematics, they suffer from high computational latency. In recent years, data-driven methods have emerged as a promising alternative due t…▽ More",Shuhao M.; Jie Z.; Chaoyang S.; Pei D.; Ian; Zhi-Qiang Z.,,,2024-12-05,,
Joint Mode Selection and Beamforming Designs for Hybrid-RIS Assisted ISAC Systems,"This paper considers a hybrid reconfigurable intelligent surface (RIS) assisted integrated sensing and communication (ISAC) system, where each RIS element can flexibly switch between the active and passive modes. Subject to the signal-to-interference-plus-noise ratio (SINR) constraint for each communication user (CU) and the transmit power constraints for both the base station (BS) and the active…▽ More",Yingbin L.; Feng W.; Xiao Z.; Guojun H.; Vincent,,,2024-12-05,,
Exploring Behaviors of Hybrid Systems via the Voronoi Bias over Output Signals,"In this paper, we consider an analysis of temporal properties of hybrid systems based on simulations, so-called falsification of requirements. We present a novel exploration-based algorithm for falsification of black-box models of hybrid systems based on the Voronoi bias in the output space. This approach is inspired by techniques used originally in motion planning: rapidly exploring random trees.…▽ More",Gidon E.; Jiří F.,,,2024-12-05,,
Relationships between Keywords and Strong Beats in Lyrical Music,"Artificial Intelligence (AI) song generation has emerged as a popular topic, yet the focus on exploring the latent correlations between specific lyrical and rhythmic features remains limited. In contrast, this pilot study particularly investigates the relationships between keywords and rhythmically stressed features such as strong beats in songs. It focuses on several key elements: keywords or non…▽ More",Callie; Duoduo L.; Ellie,,,2024-12-05,,
Hipandas: Hyperspectral Image Joint Denoising and Super-Resolution by Image Fusion with the Panchromatic Image,"Hyperspectral images (HSIs) are frequently noisy and of low resolution due to the constraints of imaging devices. Recently launched satellites can concurrently acquire HSIs and panchromatic (PAN) images, enabling the restoration of HSIs to generate clean and high-resolution imagery through fusing PAN images for denoising and super-resolution. However, previous studies treated these two tasks as in…▽ More",Shuang X.; Zixiang Z.; Haowen B.; Chang Y.; Jiangjun P.; Xiangyong C.; Deyu M.,,,2024-12-05,,
Utilizing phase-type distributions for queueing-based railway junction performance determination,"To ensure the effective and objective development of transportation networks, it is crucial to identify performance limitations across various subsystems. A timetable-independent assessment of infrastructure capacity at railway junctions is a fundamental aspect of long-term rail network planning. While recent research introduced queueing-based methods to quantify route-based railway junction perfo…▽ More",Tamme E.; Nils N.,,,2024-12-05,,
Symmetry-Based Classification of Chern Phases in Honeycomb Photonic Crystals,"…a nontrivial p6m component in the nonreciprocal fields is required to open a bandgap and achieve a non-zero Chern number. These results provide a symmetry-based roadmap forengineeringphotonic topological phases via nonreciprocal perturbations of photonic graphene, offering practical guidelines for designing topological phases in graphene-like photonic cry…▽ More",Rodrigo; Tatiana; Mário,,,2024-12-05,,
Supertoroid fitting of objects with holes for robotic grasping and scene generation,"One of the strategies to detect the pose and shape of unknown objects is their geometric modeling, consisting on fitting known geometric entities. Classical geometric modeling fits simple shapes such as spheres or cylinders, but often those don't cover the variety of shapes that can be encountered. For those situations, one solution is the use of superquadrics, which can adapt to a wider variety o…▽ More",Joan; Eric C.; Abhijit M.; Omid H.; Alba,,,2024-12-05,,
An In-Depth Examination of Risk Assessment in Multi-Class Classification Algorithms,"Advanced classification algorithms are being increasingly used in safety-critical applications like health-care,engineering, etc. In such applications, miss-classifications made by ML algorithms can result in substantial financial or health-related losses. To better anticipate and prepare for such losses, the algorithm user seeks an estimate for the probabi…▽ More",Disha G.; Neeraj S.; Yuanyuan L.; Yang L.,,,2024-12-05,,
On the Lack of Robustness of Binary Function Similarity Systems,"…to identify what functions in a pool are most similar to a given query function, is a sought-after topic in different communities, including machine learning, softwareengineering, and security. Its importance stems from the impact it has in facilitating several crucial tasks, from reverseengineeringand malware analy…▽ More",Gianluca C.; Tong T.; Jie W.; Ziqi Y.; Daniele; Giuseppe; Lorenzo C.; Leonardo Q.,,,2024-12-05,,
Non-Asymptotic Bounds for Closed-Loop Identification of Unstable Nonlinear Stochastic Systems,"We consider the problem of least squares parameter estimation from single-trajectory data for discrete-time, unstable, closed-loop nonlinear stochastic systems, with linearly parameterised uncertainty. Assuming a region of the state space produces informative data, and the system is sub-exponentially unstable, we establish non-asymptotic guarantees on the estimation error at times where the state…▽ More",Seth S.; Jingge Z.; Dragan N.; Ye P.,,,2024-12-05,,
Compositional Generative Multiphysics and Multi-component Simulation,"…which models the interactions between multiple physical processes, and multi-component simulation of complex structures are critical in fields like nuclear and aerospaceengineering. Previous studies often rely on numerical solvers or machine learning-based surrogate models to solve or accelerate these simulations. However, multiphysics simulations typicall…▽ More",Tao Z.; Zhenhai L.; Feipeng Q.; Yongjun J.; Tailin W.,,,2024-12-05,,
Towards Comprehensive Legislative Requirements for Cyber Physical Systems Testing in the European Union,"…obsolete at the time they are used. While the individual elements we point out might not bring novelty in the various research areas we cover (EU policies, requirementsengineering, businessengineering, and softwareengineering), this paper identifies the challenges related to b…▽ More",Guillaume N.; Manon K.; Michael L.; Xavier D.,,,2024-12-05,,
Decentralized Dynamic Event-triggered Output-feedback Control of Stochastic Non-triangular Interconnected Systems with Unknown Time-varying Sensor Sensitivity,"This study addresses the intricate challenge of decentralized output-feedback control for stochastic non-triangular nonlinear interconnected systems with unknown time-varying sensor sensitivity in a dynamic event-triggered context. The presence of stochastic disturbances, non-triangular structural uncertainties, and evolving sensor sensitivity distinguishes this problem of global asymptotic stabil…▽ More",Libei S.; Yongduan S.; Maolong L.,,,2024-12-05,,
Deep priors for satellite image restoration with accurate uncertainties,"Satellite optical images, upon their on-ground receipt, offer a distorted view of the observed scene. Their restoration, classically including denoising, deblurring, and sometimes super-resolution, is required before their exploitation. Moreover, quantifying the uncertainty related to this restoration could be valuable by lowering the risk of hallucination and avoiding propagating these biases in…▽ More",Biquard M.; Marie C.; Florence G.; Christophe L.; Thomas O.,,,2024-12-05,,
Towards Fast and Safety-Guaranteed Trajectory Planning and Tracking for Time-Varying Systems,"When deploying autonomous systems in unknown and changing environments, it is critical that their motion planning and control algorithms are computationally efficient and can be reapplied online in real time, whilst providing theoretical safety guarantees in the presence of disturbances. The satisfaction of these objectives becomes more challenging when considering time-varying dynamics and distur…▽ More",Seth S.; Mo C.; Ye P.,,,2024-12-05,,
DeepFEA: Deep Learning for Prediction of Transient Finite Element Analysis Solutions,Finite Element Analysis (FEA) is a powerful but computationally intensive method for simulating physical phenomena. Recent advancements in machine learning have led to surrogate models capable of accelerating FEA. Yet there are still limitations in developing surrogates of transient FEA models that can simultaneously predict the solutions for both nodes and elements with applicability on both the…▽ More,Georgios T.; Panagiotis; George D.; Dimitris,,,2024-12-05,,
Adult Glioma Segmentation in Sub-Saharan Africa using Transfer Learning on Stratified Finetuning Data,"Gliomas, a kind of brain tumor characterized by high mortality, present substantial diagnostic challenges in low- and middle-income countries, particularly in Sub-Saharan Africa. This paper introduces a novel approach to glioma segmentation using transfer learning to address challenges in resource-limited regions with minimal and low-quality MRI data. We leverage pre-trained deep learning models,…▽ More",Abhijeet P.; Daniel C.; Zhifan J.; Austin T.; Xinyang L.; Syed; María; Marius,,,2024-12-05,,
MRGen: Diffusion-based Controllable DataEnginefor MRI Segmentation towards Unannotated Modalities,"…and organ information, along with a subset of organ mask annotations, to support research in controllable medical image generation; (ii) we propose a diffusion-based dataengine, termed MRGen, which enables generation conditioned on text prompts and masks, synthesizing MR images for diverse modalities lacking mask annotations, to train segmentation models o…▽ More",Haoning W.; Ziheng Z.; Ya Z.; Weidi X.; Yanfeng W.,,,2024-12-04,,
"Missing Melodies: AI Music Generation and its ""Nearly"" Complete Omission of the Global South","Recent advances in generative AI have sparked renewed interest and expanded possibilities for music generation. However, the performance and versatility of these systems across musical genres are heavily influenced by the availability of training data. We conducted an extensive analysis of over one million hours of audio datasets used in AI music generation research and manually reviewed more than…▽ More",Atharva M.; Shivam C.; Monojit C.,,,2024-12-05,,
Magnetic Resonance Imaging Feature-Based Subtyping and Model Ensemble for Enhanced Brain Tumor Segmentation,"Accurate and automatic segmentation of brain tumors in multi-parametric magnetic resonance imaging (mpMRI) is essential for quantitative measurements, which play an increasingly important role in clinical diagnosis and prognosis. The International Brain Tumor Segmentation (BraTS) Challenge 2024 offers a unique benchmarking opportunity, including various types of brain tumors in both adult and pedi…▽ More",Zhifan J.; Daniel C.; Abhijeet P.; Austin T.; Xinyang L.; María; Syed; Marius,,,2024-12-05,,
LossAgent: Towards Any Optimization Objectives for Image Processing with LLM Agents,"…repository by incorporating existing loss functions that support the end-to-end optimization for low-level image processing. Then, we design the optimization-oriented promptengineeringfor the loss agent to actively and intelligently decide the compositional weights for each loss in the repository at each optimization interaction, thereby achieving the requ…▽ More",Bingchen L.; Xin L.; Yiting L.; Zhibo C.,,,2024-12-05,,
Superconducting Proximity Effect in Two-Dimensional Hole Gases,"Technology involving hybrid superconductor-semiconductor materials is a promising avenue forengineeringquantum devices for information storage, manipulation, and transmission. Proximity-induced superconducting correlations are an essential part of such devices. While the proximity effect in the conduction band of common semiconductors is well understood, i…▽ More",Serafim B.; Benjamin J.; Karsten F.; Maksym S.; Jeroen D.,,,2024-12-05,,
ProtDAT: A Unified Framework for Protein Sequence Design from Any Protein Text Description,"Protein design has become a critical method in advancing significant potential for various applications such as drug development and enzymeengineering. However, protein design methods utilizing large language models with solely pretraining and fine-tuning struggle to capture relationships in multi-modal protein data. To address this, we propose ProtDAT, a d…▽ More",Xiao-Yu G.; Yi-Fan L.; Yuan L.; Xiaoyong P.; Hong-Bin S.,,,2024-12-05,,
PromptEngineeringGuidance for Conceptual Agent-based Model Extraction using Large Language Models,"This document contains detailed information about the prompts used in the experimental process discussed in the paper ""Toward Automating Agent-based Model Generation: A Benchmark for Model Extraction using Question-Answering Techniques"". The paper aims to utilize Question-answering (QA) models to extract the necessary information to implement Agent-based Modeling (ABM) from conceptual models. It p…▽ More",Siamak K.; Christopher F.,,,2024-12-05,,
Optimal demand response policies for inertial thermal loads under stochastic renewable sources,"In this paper, we consider the problem of preferentially utilizing intermittent renewable power, such as wind, optimally to support thermal inertial loads in a microgrid environment. Thermal inertial loads can be programmed to preferentially consume from renewable sources. The flexibility in power consumption of inertial loads therefore can be used to absorb the fluctuations in intermittently avai…▽ More",Gaurav S.; P,,,2024-12-05,,
A Phase-Field-Micromechanics Study on the Microstructural Evolution during Viscous Sintering,"In the manufacturing process of high-performance particulate materials, viscous sintering plays a crucial role, particularly in fields such as polymer processing and additive manufacturing. The interactions between microscopic particles, their flow behavior, and the evolution of porosity during the viscous sintering process directly influence the material's density and mechanical properties. There…▽ More",Xiaoxu D.; Bo Q.; Arkadz K.; Qingcheng Y.,,,2024-12-05,,
GenChaR: A Dataset for Stock Chart Captioning,"In this work, we introduce a new dataset GenChaR for an image captioning task around stock charts. The task aims to read market sentiment directly from depicted charts and generate descriptions, hopefully to provide comprehensible and useful insights for stock trading. Impressed by the success of large language models (LLMs), the study decides to pioneer itself by exploring the capabilities of lar…▽ More",Le Q.; Emmanuele C.,,,2024-12-05,,
On Explicit Solutions to Fixed-Point Equations in Propositional Dynamic Logic,"Propositional dynamic logic (PDL) is an important modal logic used to specify and reason about the behavior of software. A challenging problem in the context of PDL is solving fixed-point equations, i.e., formulae of the formx \equiv φ(x)such thatxis a propositional variable andφ(x)is a formula containingx. A solution to such an equation is a formulaψthat omitsxand satisfies…▽ More",Tim,,,2024-12-05,,
Deep-Unrolling Multidimensional Harmonic Retrieval Algorithms on Neuromorphic Hardware,"This paper explores the potential of conversion-based neuromorphic algorithms for highly accurate and energy-efficient single-snapshot multidimensional harmonic retrieval (MHR). By casting the MHR problem as a sparse recovery problem, we devise the currently proposed, deep-unrolling-based Structured Learned Iterative Shrinkage and Thresholding (S-LISTA) algorithm to solve it efficiently using comp…▽ More",Vlad; Alexandru; Gabriel B.; Mahmoud A.; Yin L.; Matthias L.; Ullrich; Holger B.,,,2024-12-05,,
Enabling Sustainable Urban Mobility: The Role of 5G Communication in the Mobilities for EU Project,"This paper examines the role of 5G communication in the Mobilities for EU project, a collaborative initiative involving 29 partners and 11 pilots aimed at revolutionizing urban mobility through electrification, automation, and connectivity. Focusing on Dresden as a Lead City, we explore the integration of 27 innovative solutions, including autonomous freight transport, eBuses, and charging robots,…▽ More",Shangqing W.; Christopher L.; Rico R.; Frank,,,2024-12-05,,
Hierarchical Learning for IRS-Assisted MEC Systems with Rate-Splitting Multiple Access,"Intelligent reflecting surface (IRS)-assisted mobile edge computing (MEC) systems have shown notable improvements in efficiency, such as reduced latency, higher data rates, and better energy efficiency. However, the resource competition among users will lead to uneven allocation, increased latency, and lower throughput. Fortunately, the rate-splitting multiple access (RSMA) technique has emerged a…▽ More",Yinyu W.; Xuhui Z.; Jinke R.; Yanyan S.; Bo Y.; Shuqiang W.; Xinping G.; Dusit N.,,,2024-12-05,,
Blind Underwater Image Restoration using Co-Operational Regressor Networks,"The exploration of underwater environments is essential for applications such as biological research, archaeology, and infrastructure maintenanceHowever, underwater imaging is challenging due to the waters unique properties, including scattering, absorption, color distortion, and reduced visibility. To address such visual degradations, a variety of approaches have been proposed covering from basic…▽ More",Ozer; Serkan K.; Turker I.; Moncef G.,,,2024-12-05,,
LaserGuider: A Laser Based Physical Backdoor Attack against Deep Neural Networks,"Backdoor attacks embed hidden associations between triggers and targets in deep neural networks (DNNs), causing them to predict the target when a trigger is present while maintaining normal behavior otherwise. Physical backdoor attacks, which use physical objects as triggers, are feasible but lack remote control, temporal stealthiness, flexibility, and mobility. To overcome these limitations, in t…▽ More",Yongjie X.; Guangke C.; Fu S.; Yuqi C.,,,2024-12-05,,
"Semi-automated transmission control for motorcycle gearshift: design, data-driven tuning and experimental validation","…fast and smooth gear shifts with minimal modifications to the traditional manual powertrain layout. We show that with a proper synchronization between the electronic clutch andenginetorque, excellent gearshift performance can be obtained, but requires precise parameters calibration. We thus propose the use of a data-driven approach with Constrained Bayesia…▽ More",Edoardo C.; Giulio P.; Davide S.; Sergio,,,2024-12-05,,
Exploring Fully Convolutional Networks for the Segmentation of Hyperspectral Imaging Applied to Advanced Driver Assistance Systems,"Advanced Driver Assistance Systems (ADAS) are designed with the main purpose of increasing the safety and comfort of vehicle occupants. Most of current computer vision-based ADAS perform detection and tracking tasks quite successfully under regular conditions, but are not completely reliable, particularly under adverse weather and changing lighting conditions, neither in complex situations with ma…▽ More",Jon G.; Koldo B.; Javier E.; M.; Inés,,,2024-12-05,,
Comprehensive Audio Query Handling System with Integrated Expert Models and Contextual Understanding,"This paper presents a comprehensive chatbot system designed to handle a wide range of audio-related queries by integrating multiple specialized audio processing models. The proposed system uses an intent classifier, trained on a diverse audio query dataset, to route queries about audio content to expert models such as Automatic Speech Recognition (ASR), Speaker Diarization, Music Identification, a…▽ More",Vakada N.; Arvind; Yinyi G.; Erik V.,,,2024-12-05,,
Copper delocalization leads to ultralow thermal conductivity in chalcohalide CuBiSeCl2,"…anharmonicity, delocalization, and vibrational dynamics, paving the way for the design and optimization of CuBiSeCl_2 and analogous materials for advanced phononengineeringapplications.▽ More",Yuzhou H.; Junwei C.; Xiaoying W.; Xuejie L.; Jun S.; Xiangdong D.; Turab L.; Zhibin G.,,,2024-12-05,,
A shiny app for modeling the lifetime in primary breast cancer patients through phase-type distributions,"Phase-type distributions (PHDs), which are defined as the distribution of the lifetime up to the absorption in an absorbent Markov chain, are an appropriate candidate to model the lifetime of any system, since any non-negative probability distribution can be approximated by a PHD with sufficient precision. Despite PHD potential, friendly statistical programs do not have a module implemented in the…▽ More",Christian A.; Elena C.; Ismael M.; Juan,,,2024-12-05,,
Advanced Design of Self-Healing Dielectric Capacitors: New Universal Concept and Computational Method,…descriptors to unequivocally characterize possible capacitor designs. The concept is addressed to researchers working with enhanced energy storage designs and electricalengineers.▽ More,Vitalyy,,,2024-12-05,,
Offloading Revenue Maximization in Multi-UAV-Assisted Mobile Edge Computing for Video Stream,"Traditional video transmission systems assisted by multiple Unmanned Aerial Vehicles (UAVs) are often limited by computing resources, making it challenging to meet the demands for efficient video processing. To solve this challenge, this paper presents a multi-UAV-assisted Device-to-Device (D2D) mobile edge computing system for the maximization of task offloading profits in video stream transmissi…▽ More",Bin L.; Huimin S.,,,2024-12-05,,
Environment Reconstruction with Multi-targets Reflectors-merged Sensing Method Based on THz Single-sided Channel Characteristics,"Terahertz (THz) integrated sensing and communication (ISAC) holds the potential to achieve high data rates and high-resolution sensing. Reconstructing the propagation environment is a vital step for THz ISAC, as it enhances the predictability of the communication channel to reduce communication overhead. In this letter, we propose an environment reconstruction methodology (ERM) merging reflectors…▽ More",Zhaowei C.; Pan T.; Jianhua Z.; Hao J.; Guangyi L.,,,2024-12-05,,
Is FISHER All You Need in The Multi-AUV Underwater Target Tracking Task?,"It is significant to employ multiple autonomous underwater vehicles (AUVs) to execute the underwater target tracking task collaboratively. However, it's pretty challenging to meet various prerequisites utilizing traditional control methods. Therefore, we propose an effective two-stage learning from demonstrations training framework, FISHER, to highlight the adaptability of reinforcement learning (…▽ More",Jingzehua X.; Guanwen X.; Ziqi Z.; Xiangwang H.; Dongfang M.; Shuai Z.; Yong R.; Dusit N.,,,2024-12-05,,
WACANA: A Concolic Analyzer for Detecting On-chain Data Vulnerabilities in WASM Smart Contracts,"WebAssembly (WASM) has emerged as a crucial technology in smart contract development for several blockchain platforms. Unfortunately, since their introduction, WASM smart contracts have been subject to several security incidents caused by contract vulnerabilities, resulting in substantial economic losses. However, existing tools for detecting WASM contract vulnerabilities have accuracy limitations…▽ More",Wansen W.; Caichang T.; Zhaoyi M.; Wenchao H.; Yan X.,,,2024-12-05,,
Performance Analysis of XL-MIMO with Rotary and Movable Antennas for High-speed Railway,"The rotary and movable antennas (ROMA) technology is efficient in enhancing wireless network capacity by adjusting both the antenna spacing and three-dimensional (3D) rotation of antenna surfaces, based on the spatial distribution of users and channel statistics. Applying ROMA to high-speed rail (HSR) wireless communications can significantly improve system performance in terms of array gain and s…▽ More",Wenhui Y.; Jiayi Z.; Zhe W.; Huahua X.; Bo A.,,,2024-12-05,,
A robust quantum nonlinear solver based on the asymptotic numerical method,"Quantum computing offers a promising new avenue for advancing computational methods in science andengineering. In this work, we introduce the quantum asymptotic numerical method, a novel quantum nonlinear solver that combines Taylor series expansions with quantum linear solvers to efficiently address nonlinear problems. By linearizing nonlinear problems usi…▽ More",Yongchun X.; Zengtao K.; Huang Q.; Yang J.; Hamid Z.; Michel P.; Huang K.; Zhang J.; Fan H.; Hu H.,,,2024-12-05,,
