Title,Abstract,Author,Classification_Codes,Publication_Date,Affiliations_ID,References,Keywords,File_ID
Laparoscopic-assisted techniques in overcoming bulky sigmoid colon cancer – a video vignette,,Ng J.; Sahakitrungruang C.,,2018-09-01,60028190; 60017958,Laparoscopic resection of colon cancer: consensus of the European Association of Endoscopic Surgery (E.A.E.S); Predictors of conversion in laparoscopic-assisted colectomy for colorectal cancer and clinical outcomes,,201800704
"Role of acute kidney injury biomarkers to guide renal replacement therapy initiation, what we learn from EARLY-RRT trial and FST trial?",,Srisawat N.; Tangvoraphonkchai K.; Lumlertgul N.; Tungsanga K.; Eiam-Ong S.,,2018-12-01,60028190; 60002875,The effect of early renal replacement therapy guided by plasma neutrophil gelatinase associated lipocalin on outcome of acute kidney injury: A feasibility study; A comparison of early versus late initiation of renal replacement therapy for acute kidney injury in critically ill patients: An updated systematic review and meta-analysis of randomized controlled trials; Earlier versus later initiation of renal replacement therapy among critically ill patients with acute kidney injury: A systematic review and meta-analysis of randomized controlled trials; Early versus late initiation of renal replacement therapy in patients with acute kidney njury-a systematic review & meta-analysis of randomized controlled trials; Initiation time of renal replacement therapy on patients with acute kidney injury: A systematic review and meta-analysis of 8179 participants; The effect of early versus late initiation of renal replacement therapy in patients with acute kidney injury: A meta-analysis with trial sequential analysis of randomized controlled trials; Strategies for the optimal timing to start renal replacement therapy in critically ill patients with acute kidney injury; A comparison of early versus late initiation of renal replacement therapy for acute kidney injury in critically ill patients: An updated systematic review and meta-analysis of randomized controlled trials; Initiation strategies for renal-replacement therapy in the intensive care unit; Effect of early vs delayed initiation of renal replacement therapy on mortality in critically ill patients with acute kidney injury: The elain randomized clinical trial; Timing of renal-replacement therapy in patients with acute kidney injury and sepsis; Continuous is not continuous: The incidence and impact of circuit down-time on uraemic control during continuous veno-venous haemofiltration; Plasma neutrophil gelatinase-associated lipocalin predicts recovery from acute kidney injury following community-acquired pneumonia; Early versus standard initiation of renal replacement therapy in furosemide stress test non-responsive acute kidney injury patients (the fst trial; Development and standardization of a furosemide stress test to predict the severity of acute kidney injury,,201800108
Epithelial hyperplasia is responsible for the compensatory enlargement of remaining thyroid lobe after thyroidectomy,,Bychkov A.,,2018-09-01,,The compensatory enlargement of the remaining thyroid lobe following hemithyroidectomy is small and without impact on symptom relief; Proliferative activity of human thyroid cells in various age groups and its correlation with the risk of thyroid cancer after radiation exposure; TROP-2 immunohistochemistry: a highly accurate method in the differential diagnosis of papillary thyroid carcinoma; Prognostic significance of ki-67 labeling index in papillary thyroid carcinoma; Thyroid FNA cytology in Asian practice—active surveillance for indeterminate thyroid nodules reduces overtreatment of thyroid carcinomas,Ki-67; Proliferation; Thyroid; Thyroid cancer; Thyroidectomy,201800766
What is your diagnosis?,,Choisunirachon N.,,2018-06-01,,Thoracic esophageal foreign bodies in the dogs: a review of ninety-cases; Principles of radiographic interpretation of the thorax,,201801215
Transbronchial Lung Cryobiopsy with 2 Bronchoscopes,,Sriprasart T.; Aragaki-Nakahod A.; Benzaquen S.,,2018-07-01,60122663; 60028190,Transbronchial lung cryobiopsy with 2 bronchoscopes: Nec novum nec magna; A single US center experience of tranbronchial lung cryobiopsy for diagnosing interstitial lung disease with a 2-scope technique; Transbronchial lung biopsy with a flexible cryoprobe: First case report from India; Transbronchial lung biopsy with a flexible cryoprobe during rigid bronchoscopy: Standardizing the procedure,,201801088
Survival Benefits from Metformin Use in Pancreatic Cancer: A Systemic Review and Meta-analysis,,Wirunsawanya K.; Jaruvongvanich V.; Upala S.,,2018-03-01,60022183; 60011189; 60023366; 60013791,"Effect of metformin use on survival in resectable pancreatic cancer: A single-institution experience and review of the literature; Metformin use is associated with improved survival in patients undergoing resection for pancreatic cancer; Metformin use and survival of patients with pancreatic cancer: A cautionary lesson; Metformin and survival in pancreatic cancer: A retrospective cohort study; Association between metformin use and mortality in patients with type 2 diabetes mellitus and localized resectable pancreatic cancer: A nationwide population-based study in Korea; Metformin in patients with advanced pancreatic cancer: A double-blind, randomised, placebo-controlled phase 2 trial; Statin and metformin use prolongs survival in patients with resectable pancreatic cancer; Metformin use is associated with better survival of diabetic patients with pancreatic cancer; Metabolic roles of AMPK and metformin in cancer cells; The complexities of obesity and diabetes with the development and progression of pancreatic cancer",,201801825
Evaporites,,Warren J.,,2018-01-01,,"Geochemistry of evaporitic lacustrine deposits; Saline lakes; The roles of rifting and hydrothermal CaCl2brines in the origin of potash evaporites: An hypothesis; On the secular variations in the composition of Phanerozoic marine potash evaporites; Terra infirma: Understanding salt tectonics; Eocene atmospheric CO2 from the nahcolite proxy; Sedimentology, mineralogy, and implications of silicified evaporites in the Kromberg formation, Barberton Greenstone Belt, South Africa; Geologic evidence for Archean atmospheric and climatic evolution: Fluctuating levels of CO2, CH4, and O2 with an overriding tectonic control; The evaporation path of seawater and the coprecipitation of Br-and K+ with halite; Stratigraphy and sedimentary petrology of an Archean volcanicsedimentary succession at Mt. Goldsworthy in the Pilbara Block, Western Australia: Implications of evaporite (nahcolite) and barite deposition; Evaporites through time: Tectonic, climatic and eustatic controls in marine and nonmarine deposits; Evaporitic source rocks: Mesohaline responses to cycles of “famine or feast” in layered brines",,201802454
Water resource management for sustainable development,,Sdiri A.; Pinho J.; Ratanatamskul C.,,2018-03-01,60020475; 60028190; 60070321,"Conflicts and security in integrated water resources management; Water management accounting: a framework for corporate practice; Managing too little and too much water: robust mine-water management strategies under variable climate and mine conditions; Advances and challenges in water management within energy systems; Geochemical characteristics of arid shallow aquifers in Chott Djerid, south-western Tunisia; ) Presentation and perspective of appealing Green Facilities for eco-cyclic water management; Re-engineering traditional urban water management practices with smart metering and informatics; Speeding the transition towards integrated groundwater and surface water management in Australia; Water footprint and water pinch analysis techniques for sustainable water management in the brick-manufacturing industry; A superposed model for the pipe failure assessment of water distribution networks and uncertainty analysis: A case study; Effects of different water management on absorption and accumulation of selenium in rice",,201801809
Rapid and sensitive detection of Chlamydia trachomatis sexually transmitted infections in resource-constrained settings in Thailand at the point-of-care,,Somboonna N.; Choopara I.; Arunrut N.; Sukhonpan K.; Sayasathid J.; Dean D.; Kiatpathomchai W.,,2018-12-01,60008261; 60028190; 112697229; 60022498; 60031970; 60011947; 60025038,Sexually transmitted diseases in symptomatic and asymptomatic Thai women and girls: a study from Bangkok and nearby; Loop-mediated isothermal amplification for influenza A (H5N1) virus; Rapid and sensitive detection of shrimp yellow head virus using loop-mediated isothermal amplification and a colorogenic nanogold hybridization probe; Discovering and differentiating new and emerging clonal populations of Chlamydia trachomatis with a novel shotgun cell culture harvest assay; Non-detection of Chlamydia trachomatis infection by polymerase chain reaction in pregnant Iranian women; Visual detection of white spot syndrome virus using DNA-functionalized gold nanoparticles as probes combined with loop-mediated isothermal amplification; The novel multiple inner primers-loop-mediated isothermal amplification (MIP-LAMP) for rapid detection and differentiation of Listeria monocytogenes; A multiplexed microfluidic PCR assay for sensitive and specific point-of-care detection of Chlamydia trachomatis; Chlamydia trachomatis serovars among strains isolated from members of rural indigenous communities and urban populations in Australia,,201800122
Siam-Myanmar relations through the perspective of the Royal Orders of Burma,,Myint S.T.,,2018-06-01,,"Intercourse between Burma (Myanmar) and Siam as recorded in Hmannan Yazawindawgyi; Our wars with the Burmese; The evolution of Burmese dramatic performances and festival occasions; Research on Thai-myanmar historical relations in Thailand; Thai historiography from ancient times to the modern period; Wathundaye, the Earth-goddess of Burma; Problems in Myanmar historiography; Cultural activities in Konbaung period; Research on Myanmar-Thai historical relations; The nature of the Burmese chronicles; The influence of Occultism in Burmese History with special reference to Bodawpaya's reign 1782-1819; The chiang mai campaign of 1787-1788: Beyond the chronicle account; Examining the royal orders of Bayintnaung; The kyazwa edict inscription; Brave new era: Bodawpaya's reform of the calendar; UpadE: Laws and regulations of king Mindon and Thibaw (Ad. 1853-1885)",,201801209
Cowden syndrome and pituitary tumours,,Srichomkwun P.; Houngngam N.; Boonchaya-Anant P.; Chutinet A.; Buranasupkajorn P.; Snabboon T.,,2018-10-01,60028190; 60022183,Epidemiology and etiopathogenesis of pituitary adenomas; Cowden syndrome and the PTEN hamartoma tumor syndrome: Systematic review and revised diagnostic criteria; PTEN hamartoma tumor syndrome: Clinical risk assessment and management protocol; The PI3K/AKT/mTOR pathway in the pathophysiology and treatment of pituitary adenomas; Characterization of cryptic splicing in germline PTEN intronic variants in Cowden syndrome,,201800512
The case for catheter-directed thrombolysis in selected patients with acute proximal deep vein thrombosis,,Chiasakul T.; Cuker A.,,2018-07-24,60028190; 60003711,"Epidemiology of venous thromboembolism; Subcommittee on Control of Anticoagulation of the Scientific and Standardization Committee of the International Society on Thrombosis and Haemostasis. Definition of post-thrombotic syndrome of the leg for use in clinical investigations: A recommendation for standardization; Determinants of health-related quality of life during the 2 years following deep vein thrombosis; Economic burden of deep-vein thrombosis, pulmonary embolism, and postthrombotic syndrome; American Heart Association Council on Arteriosclerosis, Thrombosis and Vascular Biology. Management of massive and submassive pulmonary embolism, iliofemoral deep vein thrombosis, and chronic thromboembolic pulmonary hypertension: A scientific statement from the American Heart Association; Trends in management of phlegmasia cerulea dolens; The postthrombotic syndrome:current evidence and future challenges; Vein abnormalities and the post-thrombotic syndrome; Valvular dysfunction and venous obstruction in the post-thrombotic syndrome; Residual rates of reflux and obstruction and their correlation to post-thrombotic syndrome in a randomized study on catheter-directed thrombolysis for deep vein thrombosis; Early results of thrombolysis vs anticoagulation in iliofemoral venous thrombosis. A randomised clinical trial; Iliofemoral deep vein thrombosis: Conventional therapy versus lysis and percutaneous transluminal angioplasty and stenting; Thrombolysis for acute deep vein thrombosis; Preservation of venous valve function after catheter-directed and systemic thrombolysis for deep venous thrombosis; Society of Interventional Radiology and Cardiovascular and Interventional Radiological Society of Europe Standards of Practice Committees. Quality improvement guidelines for the treatment of lower-extremity deep vein thrombosis with use of endovascular thrombus removal; Catheter-direct thrombolysis versus pharmacomechanical thrombectomy for treatment of symptomatic lower extremity deep venous thrombosis; Percutaneous pharmacomechanical thrombectomy offers lower risk of postthrombotic syndrome than catheter-directed thrombolysis in patients with acute deep vein thrombosis of the lower limb; Catheter-directed thrombolysis and pharmacomechanical thrombectomy improve midterm outcome in acute iliofemoral deep vein thrombosis; Endovenous therapy for deep venous thrombosis: The TORPEDO trial; Use of percutaneous aspiration thrombectomy vs. Anticoagulation therapy to treat acute iliofemoral venous thrombosis: 1-year follow-up results of a randomised, clinical trial; CaVenT Study Group. Longterm outcome after additional catheter-directed thrombolysis versus standard treatment for acute iliofemoral deep vein thrombosis (the CaVenT study): A randomised controlled trial; CaVenT Study Group. Post-thrombotic syndrome after catheter-directed thrombolysis for deep vein thrombosis (CaVenT): 5-year follow-up results of an open-label, randomised controlled trial; ATTRACT Trial Investigators. Pharmacomechanical catheter-directed thrombolysis for deep-vein thrombosis; Determinants and time course of the postthrombotic syndrome after acute deep venous thrombosis; Determinants of early and long-term efficacy of catheter-directed thrombolysis in proximal deep vein thrombosis; Catheter-directed thrombolysis to avoid late consequences of acute deep vein thrombosis; Catheter-directed thrombolysis for lower extremity deep venous thrombosis: Report of a national multicenter registry",,201800972
"Efficacy and safety of low-dose prophylaxis of highly purified plasma-derived factor VIII concentrate produced by the National Blood Centre, Thai Red Cross Society",,Chuansumrit A.; Sosothikul D.; Natesirinilkul R.; Lektrakul Y.; Charoonruangrit U.; Chiengthon K.; Srikala K.; Wongwerawattanakoon P.; Kadegasem P.; Tanthien P.; Phikulsod S.; Sittipreechacharn S.,,2018-09-01,60028190; 60091550; 60199578; 60000881; 60031780,"Dry-heat treatment process for enhancing viral safety of an antihemophilic factor VIII concentrate prepared from human plasma; A one-stage factor VIII (antihaemophilic globulin) assay and its use on venous and capillary plasma; Nijmegen-Bethesda assay to measure factor VIII inhibitors; Efficacy and safety of the factor VIII/von Willebrand factor concentrate, haemate-P/humate-P: ristocetin cofactor unit dosing in patients with von Willebrand disease; Guidelines for the management of hemophilia; Prophylactic treatment for hemophilia A patients: a pilot study",,201800711
Inventions and innovation in integration of renewable energy systems,,Chirapongsananurak P.; Santoso S.,,2018-06-01,60028190; 60013372,A Framework for Stacked-Benefit Analysis of Distribution-Level Energy Storage Deployment; Multi-Time-Scale Simulation Tool for Renewable Energy Integration Analysis in Distribution Circuits; Statistical Inference for Visualization of Large Utility Power Distribution Systems; Review of Tidal Lagoon Technology and Opportunities for Integration within the UK Energy System; Analysing Renewable Energy Source Impacts on Power System National Network Code; Impacts of Voltage Control Methods on Distribution Circuit’s Photovoltaic (PV) Integration Limits,,201801206
Distinctive features of low-grade myofibroblastic sarcoma on aspiration cytology: A case report,,Taweevisit M.; Thorner P.,,2018-12-01,60028190; 60030319,Low-grade myofibroblastic sarcoma (myofibrosarcoma); Low-grade myofibroblastic sarcoma; Indolent growth of low-grade myofibroblastic sarcoma of the cheek mimics benign lesions: a case report and literature review; Fine-needle aspiration of spindle cell and mesenchymal lesions of the salivary glands; Low-grade myofibroblastic sarcoma of the salivary gland; Myofibroblastic sarcoma vs nodular fasciitis: a comparative study of chromosomal imbalances; Schwannomas: a pitfall in the diagnosis of pleomorphic adenomas on fine-needle aspiration cytology; Nodular fasciitis of parotid region: a pitfall in the diagnosis of pleomorphic adenomas on fine-needle aspiration cytology; Cytopathologic analysis of stroma-poor salivary gland epithelial/myoepithelial neoplasms on fine needle aspiration; Fine-needle aspiration cytology of malignant hemangiopericytoma of the salivary gland: a case report,,201800179
Letter: extensive intestinal metaplasia is associated with the presence of incomplete intestinal metaplasia subtype and could be an easier marker for high risk of gastric cancer Authors' reply,,Pittayanon R.; Barkun A.,,2018-04-01,60006558; 60022183,"Letter: extensive intestinal metaplasia is associated with the presence of incomplete intestinal metaplasia subtype and could be an easier marker for high risk of gastric cancer; The risk of gastric cancer in patients with gastric intestinal metaplasia in 5-year follow-up; Pathology of gastric intestinal metaplasia: clinical implications; Management of precancerous conditions and lesions in the stomach (MAPS): guideline from the European Society of Gastrointestinal Endoscopy (ESGE), European Helicobacter Study Group (EHSG), European Society of Pathology (ESP), and the Sociedade Portuguesa de Endoscopia Digestiva (SPED)",,201801636
Safety and efficacy of apixaban versus warfarin in patients with end-stage renal disease: Meta-analysis,,Chokesuwattanaskul R.; Thongprayoon C.; Tanawuttiwat T.; Kaewput W.; Pachariyanon P.; Cheungpasitporn W.,,2018-07-01,60006964; 60004109; 60022183; 60032964; 60002688,Safety and efficacy of apixaban versus warfarin in patients with end-stage renal disease: Meta-analysis; Chronic kidney disease and arrhythmias: Conclusions from a kidney disease: Improving global outcomes (KDIGO) controversies conference; Dabigatran and rivaroxaban use in atrial fibrillation patients on hemodialysis,apixaban; atrial fibrillation; bleeding complication; meta-analysis; thromboembolic events; vitamin K antagonist; warfarin,201801069
CBCT quality assurance,,Pauwels R.,,2018-01-04,60028190; 60121202,Radiological protection in Cone Beam Computed Tomography (CBCT); Quantification of metal artifacts on cone beam computed tomography images; Automated implant segmentation in cone-beam CT using edge detection and particle counting; A pragmatic approach to determine the optimal kVp in cone beam CT: balancing contrast-to-noise ratio and radiation dose; CBCT-based bone quality assessment: are Hounsfield units applicable?; Optimization of dental CBCT exposures through mAs reduction,,201802085
Severe allergic contact dermatitis mimicking angioedema caused by propolis used as a traditional remedy,,Lee S.X.; Boontaveeyuwat E.; Thaiwat S.; Rustin M.; McFadden J.,,2018-09-01,60006964; 60028190; 60032819; 60013022; 60009797,"Propolis: a review of properties, applications, chemical composition, contact allergy, and other adverse effects; Anti-inflammatory and antimicrobial evaluation of neovestitol and vestitol isolated from Brazilian red propolis; Sensitization to propolis in 1255 children undergoing patch testing; Contact sensitization in 1094 children undergoing patch testing over a 7-year period; The most important contact sensitizers in Polish children and adolescents with atopy and chronic recurrent eczema as detected with the extended European Baseline Series; Allergic contact dermatitis from propolis; Loss-of-function variants in the filaggrin gene are a significant risk factor for peanut allergy",allergic contact dermatitis; case report; propolis; pseudoangioedema; traditional remedy,201800721
Chemical Constituents of the Stems of Spatholobus parviflorus and Their Cholinesterase Inhibitory Activity,,Sichaem J.; Ruksilp T.; Sawasdee P.; Khumkratok S.; Tip-pyang S.,,2018-03-01,60028190; 60002875,,,201801788
Optimization of different parameters for lycopene extraction from tomato paste with non-toxic solvent,,Kunthakudee N.; Ramakul P.; Pancharoen U.,,2018-01-01,60018809; 60028190,Green ultrasound-assisted extraction of carotenoids from pomegranate wastes using vegetable oils; Extraction of lycopene from tomato processing waste: Kinetics and modeling; Increases in plasma lycopene concentration after consumption of tomatoes cooked with olive oil,,201802166
Hofstadter Points for Exterior Angles,,de Silva I.P.D.,,2018-08-08,,"Central points and central lines in the plane of a triangle; Perspective isoconjugate triangle pairs, Hofstadter pairs, and crosssums on the nine-point circle",,201800831
Novel compound heterozygous mutations in KREMEN1 confirm it as a disease gene for ectodermal dysplasia,,Intarak N.; Theerapanon T.; Srijunbarl A.; Suphapeetiporn K.; Porntaveetus T.; Shotelersuk V.,,2018-09-01,60028190; 60022183,"Mutation of KREMEN1, a modulator of Wnt signaling, is responsible for ectodermal dysplasia including oligodontia in Palestinian families; A novel GJA1 mutation in oculodentodigital dysplasia with extensive loss of enamel; A method and server for predicting damaging missense mutations; SIFT: predicting amino acid changes that affect protein function; M-CAP eliminates a majority of variants of uncertain significance in clinical exomes at high sensitivity; Whole-exome sequencing identifies novel variants for tooth agenesis; Structure of the dual-mode Wnt regulator kremen1 and insight into ternary complex formation with LRP6 and dickkopf",,201800697
Response: “Confounding and Adjustment Factors in the Effect of Intravenous Parecoxib on Shoulder Pain After Thoracotomy?”,,Pipanmekaporn T.; Punjasawadwong Y.; Charuluxananan S.; Lapisatepun W.; Bunburaphong P.; Boonsri S.; Tantraworasin A.; Bunchungmongkol N.,,2018-06-01,60028190; 60000881,,,201801317
Klippel-Trenaunay-Weber syndrome as a cause of chronic thromboembolic pulmonary hypertension,,Chenbhanich J.; Leelayuwatanakul N.; Phowthongkum P.,,2018-03-22,60028190; 60005824; 60022183,Differential diagnoses of overgrowth syndromes: The most important clinical and radiological disease manifestations; Thoracic Manifestations of Klippel-Trenaunay Syndrome; Klippel-Trenaunay syndrome belongs to the PIK3CA-related overgrowth spectrum (PROS),genetics; venous thromboembolism,201801720
Behavioral aspects of commodity markets,,Nofsinger J.; Chatjuthamard P.; Dai X.,,2018-03-22,60028190; 60083501; 60029489,"Psychological Barriers in Gold Prices?; Index Futures and Positive Feedback Trading: Evidence from Major Stock Exchanges; Prospect Theory and Asset Prices; A Survey of Behavioral Finance; What Drives the Disposition Effect? An Analysis of a Long-Standing Preference-Based Explanation; Bid-Ask Spreads and the Avoidance of Odd-Eighth Quotes on NASDAQ: An Examination of Exchange Listings; Myopic Loss Aversion and the Equity Premium Puzzle; The Degree of Price Resolution and Equity Trading Costs; Clustering in Crude Oil Prices and the Target Pricing Zone Hypothesis; Dealer Behavior and Trading Systems in Foreign Exchange Markets; The Predictability of Opening Returns for the Returns of the Trading Day: Evidence from Taiwan Futures Market; Market Conditions and Profitability of Proprietary Trading by Futures Floor Traders: Performance Persistence or Mutation under Stress; Risk Taking by Mutual Funds as a Response to Incentives; The Disposition Effect and Investment Performance in the Futures Market; Patterns and Consequences of the Disposition Effect; Liquidity and Quote Clustering in a Market with Multiple Tick Sizes; Long Memory and Structural Breaks in Commodity Futures Markets; Do Behavioral Biases Affect Prices?; Behavioral Influences in Non-ferrous Metals Prices; Feedback Trading; Positive Feedback Investment Strategies and Destabilizing Rational Speculation; Noise Trader Risk in Financial Markets; The Survival of Noise Traders in Financial Markets; Determinants of Trader Profits in Commodity Futures Markets; Up Close and Personal: Investor Sophistication and the Disposition Effect; Psychological Barriers in Oil Futures Markets; Execution Costs and Their Intraday Variation in Futures Markets; The House Money Effect and Local Traders on the Sydney Futures Exchange; Local Trader Profitability in Futures Markets: Liquidity and Position Taking Profits; The Propensity for Local Traders in Futures Markets to Ride Losses: Evidence of Irrational or Rational Behavior?; What Makes Investors Trade?; Do Professional Traders Exhibit Myopic Loss Aversion? An Experimental Analysis; Psychological Factors and Stock Option Exercise; Good Day Sunshine: Stock Returns and the Weather; The Components of the Bid-Ask Spread: A General Approach; The House Money and Break-Even Effects for Different Types of Traders: Evidence from Taiwan Futures Markets; Prospect Theory: An Analysis of Decision under Risk; Prospect Theory and the Disposition Effect; Investor Sentiment, Trading Behavior and Informational Efficiency in Index Futures Markets; Market Making with Price Limits; A Note on Loss Aversion and Futures Hedging; Gone with the Wind: Chicago's Weather and Futures Trading; Prior Consequences and Subsequent Risk Taking: New Field Evidence from the Taiwan Futures Exchange; The Psychophysiology of Real-Time Financial Risk Processing; Fear and Greed in Financial Markets: A Clinical Study of Day-Traders; Professional Trader Discipline and Trade Disposition; Daily Income Target Effects: Evidence from a Large Sample of Professional Commodities Traders; Futures Market Transaction Costs; Tests of Microstructural Hypotheses in the Foreign Exchange Market; A Bayesian Model of Intraday Specialist Pricing; Life in the Pits: Competitive Market Making and Inventory Control; Probability Weighting and Loss Aversion in Futures Hedging; Clustering and Psychological Barriers in Exchange Rates; Investigating Price Clustering in the Oil Futures Market; Herding and Feedback Trading by Institutional and Individual Investors; Trading Dynamics in the Foreign Exchange Market: A Latent Factor Panel Intensity Approach; Institutional Investors, Past Performance, and Dynamic Loss Aversion; Are Investors Reluctant to Realize Their Losses?; Feedback Traders and Stock Return Autocorrelations: Evidence from a Century of Daily Data; The Disposition to Sell Winners Too Early and Ride Losers Too Long: Theory and Evidence; Marketmaker Behavior in an Auction Market: An Analysis of Scalpers in Futures Markets; Mental Accounting and Consumer Choice; Gambling with the House Money and Trying to Break Even: The Effects of Prior Outcomes on Risky Choice; The Effect of Myopia and Loss Aversion on Risk Taking: An Experimental Test; Rational Destabilizing Speculation, Positive Feedback Trading, and the Oil Bubble of 2008; Anchoring and Psychological Barriers in Foreign Exchange Markets",,201801718
