Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
"The Research on ""Virtual-real Integration, Multi-level Progressive"" Practical Teaching: Take the Course ""Comprehensive Design and Production of the Internet of Things (Perception Layer)"" as An Example","The course ""Comprehensive Design and Production of the Internet of Things (Perception Layer)""takes the information acquisition system of the perception Layer of the Internet of Things as the design direction, and completes the design and production of the system, including the construction of hardware circuits and the design of control programs. It is a typical offline practical training course. In order to solve the key points of practical courses, such as low classroom utilization, students ""fishing in troubled waters"", and offline suspension of classes in epidemic areas, this case has been designed in teaching content, teaching design, and experimental methods to develop a ""virtual-real integration, multi-level progressive""teaching model. In terms of teaching content and teaching design, through the route of ""basic knowledge → module practice → project actual combat"", and with a more detailed and reasonable evaluation system, students can be guided from shallow to deep, easy first and then difficult, from simple to complex to learn and gradually improve, so as to stimulate students' interest in learning and improve practical innovation ability; In terms of experimental teaching methods, the Tinkercad simulation platform is introduced to implement a ""virtual-real fusion""teaching plan. Students can combine the simulation platform with physical production to meet the teaching requirements of ""suspension of classes and non-stop learning""during the epidemic, get rid of the limitations of physical components, and ensure that students can complete the design of the circuit and the debugging of the program anyway, and the teaching goals of the course can be achieved.","Jiang, Wenmei",Conference Proceeding,ACM International Conference Proceeding Series,2023-12-22,Dongguan City University,Evaluation System ;  Multi-level ;  Practical Training ;  Progressive ;  Virtual-real Integration
Research on the Application of Virtual Reality Technology in Oral Chinese Teaching for Foreign Students,"In the new era with scientific and technological innovation as the background, virtual reality technology, as a new technology with computer technology as the core, has been applied in various fields. By studying the characteristics and advantages of virtual reality technology, this study explores whether virtual reality technology can be applied to the oral Chinese teaching for foreign students, and analyzes the advantages of the application of virtual reality technology to oral Chinese teaching. In order to solve the common teaching problems in the oral Chinese teaching for foreign students, improve the current situation of oral Chinese teaching for foreign students, and promote the development of oral Chinese teaching for foreign students research and virtual reality technology application research.","Li, Siyuan;An, Shuanjun",Conference Proceeding,ACM International Conference Proceeding Series,2023-12-22,Bohai University,application of virtual reality technology ;  oral Chinese teaching for foreign students ;  virtual reality technology
"Summary Report APE 2023, 10-12 January, Berlin, Germany Berlin Re-Visited: Building Technological Support for Scholarship and Scientific Publishing","This paper summarizes the 18th Academic Publishing in Europe (APE) Conference: Berlin Re-Visited: Building Technological Support for Scholarship and Scientific Publishing, held as a hybrid event 10 and 11 January 2023, and organized by the Berlin Institute of Scholarly Publishing (BISP), a not-for-profit organization dedicated to bringing publishers, researchers, funders, and policymakers together. This year's conference theme “Out with the old, in with the new!” was discussed and presented in keynote speeches, the APE lecture, and several panel discussions. Current challenges within scholarly publishing, e.g., with research integrity, trust, and research assessment, have much to do with the old ways of doing things. To move science forward, new technologies and innovations, like the decentralized web, FAIR digital objects, and blockchain technology are needed to shape new paradigms. In many sessions it was stressed that not just new technologies are needed to move science forward, but human collaboration and partnerships as well. The changing role of the journal and the importance to recognize more diverse research outputs, beyond the journal article, was a topic of importance. Not only research assessment reforms and improved collaboration amongst different stakeholder groups are needed to address this, new publishing systems, better metadata, and open infrastructures as well. A session presenting different start-ups showcased how Artificial Intelligence, Natural Language Processing and software technology can be used to tackle problems in e.g., finding relevant funders and peer reviewers, and detecting image plagiarism. It was also discussed what publishers can do to help achieve the Sustainable Development Goals. Collaboration, data transparency and sharing best practices amongst researchers, funders, and policy makers are key. Another important topic during this year's APE was how publishers can support Early Career Researchers: establishing new workflows and infrastructures that enable publication of a wider range of research outputs, and broader recognition of these outputs, will incentivize ECRs. This year's APE was concluded with the APE Award Ceremony. The winner - Vsevolod Solovyov from Prophy - has used AI to enhance the current peer review system and made a very important contribution to improving the scholarly communication system.","Duine, Maaike",Journal,Information Services and Use,2023-12-22,,APE 2023 ;  artificial intelligence (AI) ;  data management ;  diversity and equity ;  early career researcher ;  FAIR digital objects ;  FAIR principles ;  inclusion ;  innovation ;  nanopublications ;  open access ;  open infrastructure ;  open science ;  paper mills ;  persistent identifiers ;  predatory journals ;  publishing trends ;  research assessment ;  research integrity ;  research metrics ;  research outputs ;  scholarly communication ;  scholarly infrastructure ;  scholarly record ;  sustainability ;  Sustainable development goals
Epistemic Metadata for Computational Engineering Information Systems,"Digitalization is a priority for innovation in the engineering sciences. The digital transformation requires making the knowledge claims from scientific research data machine-actionable, so that they can be integrated and analysed with minimal human intervention. Up until now, the depth of digitalization is often too shallow, with annotations that are only of use to a human reader. In addition, digital infrastructures and their metadata standards are tedious to use: They demand too much effort from researchers, much of which goes into metadata that contribute nothing to an improved reuse of knowledge. These shortcomings are related. Data documentation and annotation are complicated and of little use whenever the metadata that make knowledge reusable are not prioritized. Addressing this gap, we discuss metadata standardization efforts targeted at documenting the knowledge status of data; we refer to such an annotation as epistemic metadata. We propose a schema for epistemic metadata, with a focus on knowledge and reproducibility claims, that is designed to be user-friendly and flexible enough to apply to a spectrum of circumstances and validity assessments. These developments are implemented as part of the PIMS-II ontology. They were conducted in line with requirements procured through a case study on papers and claims from molecular modelling and simulation.","Horsch, Martin Thomas;Chiacchiera, Silvia;Guevara Carrión, Gabriela;Kohns, Maximilian;Müller, Erich A.;Šarić, Denis;Stephan, Simon;Todorov, Ilian T.;Vrabec, Jadran;Schembera, Björn",Book Series,Frontiers in Artificial Intelligence and Applications,2023-12-21,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau;Universität Stuttgart;Imperial College London;Technische Universität Berlin;Norges Miljø- og Biovitenskapelige Universitet;Daresbury Laboratory,Applied ontology ;  epistemic metadata ;  process data technology
Human-machine interface improving quality of patient care,"Care for patients needs doctors and nurses to communicate well with one other. There is a growing need for a two-way communication not just within the team but also with the medical equipment used to track and manage patients' conditions. Most HCIs include some kind of visual or aural display, and they have been the source of well-documented worries despite much testing. Remarkably few interfaces look at the benefits of multimodal communication despite abundant research that proves the brain's sensitivity to multimodal inputs. One of the most promising cutting-edge technical disciplines nowadays is medicine, thanks to the explosion of recent scientific knowledge and technological innovation in the field. As allowing users to automate their lives (by controlling everyday chores with just their minds) and even enjoy themselves, brain-computer interface (BCI) technology has broadened the definition of rehabilitation beyond its traditional medical context (hands-free gaming). This chapter examines the current state of the art in HMI design as it pertains to the field of biomedical engineering, with a focus on its potential for facilitating direct brain-computer interface. This strategy relies on the creation of a revolutionary miniaturized system for the covert detection of a biological signal via the use of sensors incorporated into an advanced HMI. This chapter explains current research that may have future relevance in human-computer interface design (HMI). The development of a low-cost mechanism for improving medical communication would have far-reaching effects on patient care and the expanding medical technology industry.","Sharma, Rishav;Malviya, Rishabha",Book,Human Machine Interface: Making Healthcare Digital,2023-12-19,Galgotias University,Amplitude envelope ;  Auditory alarms ;  Brain-computer interface ;  Human-machine interface
Criteria-based comparsion of Systems Engineering and agile methods A fundamental comparison of two development methods,"This paper compares two popular design methods used in product development, namely Systems Engineering (SE) and agile methods. The comparison is based on various criteria, such as ease of implementation, object of innovation, software-dependency, customer relations, human centricity, organizational structure, values, and innovative capability, which were developed in a previous paper. The content of the comparison is supported by a literature review and a workshop with industry professionals. The findings show that both SE and agile methods have similarities and differences based on the criteria examined, and the choice of methodology depends on the project's specific context and objectives. While this paper provides only a general overview of each criterion and their compatibility, the results can assist product development teams in selecting the most appropriate approach for their needs. However, more research is necessary to enhance the effectiveness and efficiency of both approaches. This paper is a useful resource for practitioners and researchers interested in understanding the similarities and differences between SE and Agile and making informed decisions regarding their use.","Humpert, Lynn;Mundt, Enrik;Bretz, Lukas;Anacker, Harald;Bretz, Vanessa;Dumitrescu, Roman",Conference Proceeding,ACM International Conference Proceeding Series,2023-12-16,Fraunhofer Institute for Mechatronic Systems Design IEM;Miele & Cie. KG,agile Systems Engineering ;  cooperative work ;  criteria-based comparison ;  design method
Civil engineers must embrace innovation to ensure hospitals keep pace with demand,"The science of healthcare is constantly evolving, making it vital that medical facilities can keep pace with change. To meet this challenge, civil engineers and the construction industry in general must embrace innovation. Only if they start approaching medical facilities differently will it be possible to construct buildings that are as adaptable as the medical technology, discoveries and methodologies they are home to. A recent example is the challenge faced by the Christie NHS Foundation Trust - the UK's leading experts in cancer care, research and education - in the design of the new Paterson cancer research centre in Manchester, which opened in May 2023. The team knew that in as little as a decade the research happening under the Paterson building's roof might look very different from the research happening today. The building also had to house three different leading organisations - the Christie NHS Foundation Trust, the University of Manchester and Cancer Research UK - to enable closer collaboration and embrace the ethos of team science, helping to make the centre one of the leading cancer research and treatment hubs in the world. This meant flexibility and adaptability were vital to the building from the offset.","Ellis, Adam",Journal,Proceedings of the Institution of Civil Engineers: Civil Engineering,2023-12-15,Arup Group Limited,
Application of Internet of Things and multimedia technology in English online teaching,"This study aims to explore the application status of Internet of Things and multimedia technology in English online teaching and its optimization measures. The Internet of Things is a technology that connects objects together and realizes information exchange through the network, while multimedia technology refers to the integration and processing of different forms of information including text, images, sound, video and so on. Firstly, the development status of Internet of Things and multimedia technology at home and abroad, as well as the development trend and demand of online English teaching, are analyzed. Secondly, through a questionnaire survey, data on the teaching methods, content, student feedback, and teachers' teaching methods and effects in English online teaching were collected. Through in-depth data analysis and empirical research, this paper discusses how to integrate the Internet of Things and multimedia technology to build a more efficient online English teaching model. On this basis, the problems existing in the Internet of Things and multimedia technology in English online teaching are summarized, such as uneven application of technology, lack of targeted teaching design, and insufficient interactivity. In response to these problems, a series of optimization measures are proposed, including balancing the application of technology, personalized teaching design, improving interactivity, cultivating independent learning ability and solving technical problems. Finally, the future development of English online teaching in the application of Internet of Things and multimedia technology is prospected, focusing on technological innovation and application, personalized and intelligent teaching, teaching mode and method innovation, teacher role change and evaluation system construction.","Yan, Jing;Chen, Aiping;Chao, Jinjin",Journal,Journal of Computational Methods in Sciences and Engineering,2023-12-15,Jiaozuo University,english ;  Internet of Things ;  multimedia technology ;  online teaching
"Path mechanism and spatial spillover effect of green technology innovation on agricultural CO<inf>2</inf> emission intensity: A case study in Jiangsu Province, China","Green technology innovation (GTI) is one of the most important factors influencing agricultural carbon emission intensity (ACEI). Various studies have explored the impact of GTI on ACEI, but the path mechanism has not been fully explained. This study incorporates GTI and ACEI into the constant elasticity of substitution (CES) production function and constructs a theoretical model to analyse their direct impact mechanisms. Drawing on the substitution effect theory and the Marshall–Arrow–Romer (MAR) externalities theory, this study introduces two regulatory mechanisms: optimization of energy structure and agricultural industry agglomeration (AIG). Additionally, it explores the pathway mechanisms under the influence of spatial spillover effects based on Tobler's first law of geography. Then, taking Jiangsu Province in China as a case study, empirical tests are conducted using LSDVC and dynamic spatial SAR models. The results are as follows. (1) GTI effectively inhibits ACEI directly, and has significantly positive spatial spillover effects on ACEI reduction in the short and long terms. (2) Energy structure optimization positively regulates the effect of GTI on ACEI reduction, and energy structure optimization in nearby cities may help GTI restrain ACEI in the local city in the short term. (3) AIG has a positive regulating effect on GTI reducing ACEI, and the moderating effect of AIG has positive spillover effects in the short term. (4) When both regulatory pathways are employed simultaneously, the moderating effect of AIG in local or neighbouring areas is expected to become ineffective. These findings are useful for solving the problem of ACEI reduction by managing the transfer and distribution of GTI between different regions, considering spatial spillover and moderating effects.","Rong, Jing;Hong, Jun;Guo, Quan;Fang, Zhou;Chen, Shikun",Journal,Ecological Indicators,2023-12-15,Tianjin University of Finance and Economics;Xishuangbanna Tropical Botanical Garden Chinese Academy of Sciences;Suzhou Polytechnic Institute of Agriculture,Agricultural carbon emission intensity ;  dynamic SAR model ;  Green technology innovation ;  LSDVC ;  Moderating effect ;  Spatial spillover effect
A review of recent techniques in performance augmentation and evaluation metrics of Trombe walls,"Trombe walls are attracting considerable attention from researchers and engineers on account of their potential ability for addressing environmental and energy crisis. However, reviews on the current situation and challenges of Trombe walls are limited. Therefore, it is necessary to present an overview on recent development of Trombe walls from various perspectives and provide some potential directions for further research. This review mainly focuses on the latest techniques on passive solar heating (represented by Trombe walls). In detail, various and novel Trombe walls are introduced according to structural improvement and technological innovation. In addition, different assessment indicators of Trombe walls are summarized from four points of view: energy, exergy, economy and environment (4E). In the end, the outlook, including challenges and future perspectives of Trombe walls are summarized and proposed. We hope that this article would be valuable for academic researchers and can provide related engineering designers in the field of passive buildings with a reference for further research.","Gu, Wenbo;Li, Gaochao;Xiermaimaiti, Arepati;Ma, Tao",Journal,Energy and Buildings,2023-12-15,Shanghai Jiao Tong University;Xinjiang University,Evaluation indicators ;  Novel Trombe walls ;  Passive solar heating ;  Performance improvement
The impact of corporate environmental responsibility on green technology innovation: An empirical analysis of listed companies in China's construction industry,"How to enhance competitiveness in the green building market and achieve green sustainable development is a challenge that construction industry enterprises face. To explore the impact and mechanism of corporate environmental responsibility (CER) on green technology innovation (GTI), this article selects data from listed construction companies in the Shanghai and Shenzhen A-share from 2011 to 2020 for empirical analysis. The results show the following: ① Improving the level of CER in the construction industry can promote GTI. ② Financing constraints only mediate the impact of CER on strategic GTI and have no effect on real GTI. ③ The educational background of the executive team positively moderates the promotion of CER on GTI. ④ The ownership nature of state-owned enterprises exhibits a negative moderating effect on CER's influence on strategic GTI, while its moderating effect on real GTI is not significant. ⑤ Media attention positively moderates the promotion effect of CER on strategic GTI, while its promotion effect on real GTI is not significant. After potential endogeneity issues are considered and a series of robustness tests is conducted, these conclusions still hold. The research findings help reveal the relationship between CER and GTI and provide references from the perspective of environmental responsibility for promoting the sustainable development of enterprises.","Xu, Jianwei;Liu, Shuxin",Journal,Energy and Buildings,2023-12-15,Fujian University of Technology,Construction industry ;  Corporate environmental responsibility ;  Financing constraints ;  Green technology innovation ;  Sustainable development
