Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Sixty years' innovative development of the Department of Burns and Plastic Surgery of the Fourth Medical Center of PLA General Hospital,解放军总医院第四医学中心烧伤整形科始建于1958年，是国内建科最早的烧伤专科之一。在享誉国内外的烧伤外科学泰斗、中国工程院院士盛志勇教授的开拓下，以朱兆明、郭振荣、柴家科、杨红明、申传安等历届科主任为代表的几代烧伤科人辛勤耕耘、传承创新，科室由单纯治疗型，逐步发展为集专科救治、科学研究、成果转化、人才培养于一体的全军重中之重建设学科、全军烧伤研究所、国家临床重点专科和国家重点学科。目前，科室展开床位300张，拥有独立的烧伤专科门急诊、挂号和收费处、烧伤专科手术室(7间)、医学美容中心、毛发移植中心、康复体疗中心、皮肤护理中心和专科实验室。每年门急诊量7万余人次、住院患者6 500余例次、手术量9 000余台次，烧伤治愈率达99.5%，半数致死烧伤面积达98%体表总面积，位居国际领先水平。.,Shen Z.,Journal,Zhonghua shao shang za zhi = Zhonghua shaoshang zazhi = Chinese journal of burns,2018-12-20,General Hospital of People's Liberation Army,Burns ;  Development ;  Innovation
Difference analysis on requirements of Universities and companies for refrigeration major,"The requirements of Chinese universities for refrigeration majors were compared with the needs of companies by data analysis for the first time. The results showed the requirement of university for students was inclined to the study of public knowledge, professional knowledge and general skills, while companies favored professional skills and work experience. The difference indexes in the research universities were in the range of 0.100~0.167, while in the applied universities 0.077~0.116. The requirements of the applied universities for students were closer to those of companies. In order to make the graduates meet the needs of the companies better, MPC and professional basic knowledge in the applied universities should be reduced on the basis of adequacy. Meanwhile, the credits of English and computer, physical fitness and innovation ability should also be reduced according to the needs of companies. While the credits of refrigeration device design, refrigeration engineering CAD drawing and operation and maintenance of the plant, team spirit and practice should be greatly increased.",Hongjie C.; Xiaomin G.; Wenfeng L.,Conference Proceeding,ACM International Conference Proceeding Series,2018-12-19,Guilin University of Aerospace Technology;Beijing Institute of Graphic Communication,Difference analysis ;  Enterprise ;  Refrigeration majors ;  Requirement ;  University
Organization of Students Innovative and Scientific Work in the Paradigm of the University 3.0,The article describes the results of the student design bureau created on the base of the Department Automated control systems of thermal processes of Moscow Power Engineering Institute as the basic model for scientific and innovative work organization with talented students. The tasks and challenges facing educational institutions during transition to the University 3.0 are shown. It is shown that this aim can be implemented as a part of new industrial revolution technologies. The main directions of the student design bureau development with use of Industry 4.0 technologies are formulated.,Andryushin A.; Shcherbatov I.; Makarevich E.,Conference Proceeding,"2018 4th International Conference on Information Technologies in Engineering Education, Inforino 2018 - Proceedings",2018-12-19,National Research University “Moscow Power Engineering Institute”,education ;  Industry 4.0 ;  innovation ;  research ;  student design bureau ;  University 3.0
Quantitative Assessment of Solution Innovation in Engineering Education,The article discusses the quantitative assessment approach to the innovation of engineering system components. The validity of the approach is based on the expert appraisal of the university's electronic information educational environment components and the measurement of engineering solution innovation in engineering education. The implementation of batch processing of object innovation assessments is justified and described.,Ivanov V.; Glebova A.; Obrazthov I.,Conference Proceeding,"2018 4th International Conference on Information Technologies in Engineering Education, Inforino 2018 - Proceedings",2018-12-19,Tver State Technical University,assessment ;  electronic information educational environment ;  engineering education ;  engineering solution ;  innovation ;  novelty ;  relevance
Getting to Zero Carbon Emissions in the Electric Power Sector,"We summarize insights from 40 studies, collectively outlining two broad pathways to decarbonize electricity: one relying primarily on wind and solar power with support from storage, demand flexibility, and transmission expansion; and a second harnessing these options alongside “firm” low-carbon resources such as nuclear, geothermal, biomass, and carbon capture and storage. Both routes may be feasible but must overcome several challenges. Improving and expanding the portfolio of available low-carbon resources offers a greater likelihood of affordably achieving deep decarbonization.",Jenkins J.; Luke M.; Thernstrom S.,Journal,Joule,2018-12-19,"National Economic Research Associates, Inc.;John F. Kennedy School of Government;Energy Innovation Reform Project",
Contextual Knowledge Content Driving for Model of Cyber Physical System,"Essential change of industrial products was their development towards cyber physical system (CPS) during the past decade. Model of these complex multidisciplinary product structures required completing the conventional physical level with system levels. At the same time, higher-level engineering for CPS demanded completing the usual engineering processes by research activities. By now, generic self-adaptive engineering model system can serve all activities during innovation and life cycles of industrial products to fulfill the above new requirements. The Laboratory of Intelligent Engineering Systems at Óbuda University recognized importance of engineering model system for CPS. One of the main research issues at this laboratory is replacing the increasingly complex interactive model entity definition by knowledge drive using reusable knowledge accumulated in intellectual property of a project, a company or an institution. For this purpose, new structure of driving knowledge content was proposed as integrated part of engineering model system. This paper introduces rearranged and redefined content structure to serve system-based engineering model of CPS and driving contexts with cyber units of CPS. Results is placed in the concept of lifecycle cyber physical system of systems (LCPSoS). Multilayer structures are proposed for driving contexts which come from outside of engineering model system.",Horvath L.,Conference Proceeding,"2018 15th International Conference on Control, Automation, Robotics and Vision, ICARCV 2018",2018-12-18,Obuda University,
Appraisal of Science and Economic Factors on Total Number of Granted Patents,"The number of granted patents, as an innovation output at macro level, may be influenced by different factors. In this study the total number of granted European patents was analyzed based on key science and economic factors, i.e. innovation potential indicators. Nine input factors were considered: total number of researchers in the higher education sector, total number of researchers in the government sector, total number of researchers in the business enterprise sector, research and development (R&D) expenditure in the higher education sector, R&D expenditure in the government sector, human resources in science and technology, employment rate, unemployment rate and gross domestic expenditure on R&D. The main goal was to determine which factor has the highest impact on the number of the granted patents. The total number of the granted patents belongs to the electrical engineering, instruments, chemistry, mechanical engineering and other fields. Adaptive neuro-fuzzy inference system (ANFIS) was used as the searching methodology. In general the total number of researchers in the business enterprise sector is the most influential factor for the total number of granted patents.",Marković D.,Journal,Networks and Spatial Economics,2018-12-15,University of Niš,ANFIS ;  Innovation potential ;  Patents ;  Science and technology
Value engineering application in a high rise building (a case study in Bali),"Finding affordable alternatives material to replace the initial design of the architecture work of a commercial high rise building project without reducing the value of the material itself. Then analysing the cost saved from applying the value engineering in the architecture work of a high rise building. Calculation through the value engineering process was conducted. A commercial high rise building in Bali was chosen as a case study to implement the value engineering process in the design stage. The value engineering stages included calculating the cost/worth function, analysing through Function Analysis System Technique (FAST), innovation and creativity stage, evaluation of the life cycle cost, decision analysis and last the decision making. The research found that by applying value engineering through several items of work in a commercial high rise building it could save up to up to 8% of the total cost of the architecture work. The architecture work that was analysed through value engineering were the wall work, the door work, the floor work and the sanitary work. These were found to be the most effecting result from the Pareto calculation. The application of value engineering is this research was only done in one commercial high rise building in Bali. The work analysed was also only the architecture work. Therefore other types of construction project might result in different value of cost saving. This research identifies the cost saved through the application of value engineering in a commercial high rise building in Bali, which emphasizes on high quality materials in the architecture work. This research will contribute to the study literature of value engineering with a case study of commercial high rise building.",Arumsari P.; Tanachi R.,Conference Proceeding,IOP Conference Series: Earth and Environmental Science,2018-12-14,Bina Nusantara University,architecture work ;  Bali ;  construction ;  cost saving ;  high rise building ;  value engineering
A Programmed Anti-Inflammatory Nanoscaffold (PAIN) as a 3D Tool to Understand the Brain Injury Response,"Immunology is the next frontier of nano/biomaterial science research, with the immune system determining the degree of tissue repair. However, the complexity of the inflammatory response represents a significant challenge that is essential to understand for the development of future therapies. Cell-instructive 3D culture environments are critical to improve our understanding of the link between the behavior and morphology of inflammatory cells and to remodel their response to injury. This study has taken two recent high-profile innovations—functional peptide-based hydrogels, and the inclusion of anti-inflammatory agents via coassembly—to make a programmed anti-inflammatory nanoscaffold (PAIN) with unusual and valuable properties that allows tissue-independent switching of the inflammatory cascade. Here, extraordinary durability of the anti-inflammatory agent allows, for the first time, the development of a 3D culture system that maintains the growth and cytoskeletal reorganization of brain tissue, while also facilitating the trophic behavior of brain cells for 22 d in vitro. Notably, this behavior was confirmed within an active scar site due to the unprecedented resilience to the presence of inflammatory cells and enzymes in the brain. Efficacy of the culture system is demonstrated via novel insights about inflammatory cell behavior, which would be impossible to obtain via in vivo experimentation.",Maclean F.; Ims G.; Horne M.; Williams R.; Nisbet D.,Journal,Advanced Materials,2018-12-13,University of Melbourne;RMIT University;The Australian National University;St. Vincent's Hospital Melbourne,3D cell culture ;  disease modeling ;  inflammation ;  nanoscaffolds ;  regenerative medicine
"GIS and data management of champedak and local wisdom of champedak gardener, satun province","This research is a GIS application for data management of the Champedak local wisdom. Champedak is a kind of plant, farmed in Satun Province. This research is an application development which practices computer innovation technology to help proceed, develop ideas and improve the ecological operations relating to the resources in the area. The application is for collecting Champedak information associated with the sustainable genetic conservation of Champedak plants. This will assist to record primary information, including the location of the Champedak tree and the figure of Champedak trees in each particular garden. A website was designed as a research tool which can display, search, and update the Champedak information. The case study of this research is in Khuan Done District, Satun Province, a service area of Songkhla Rajabhat University. The assessment results of the four satisfaction aspects are the installation process and the understanding of the application, the overview of the application, the aspects the user interface, and the usability. The average is at the highest level. Also, this research is a guideline for the conservation of genetically engineered plants and other plants with GIS in the future.",Tongkaw A.; Tongkaw S.,Conference Proceeding,MATEC Web of Conferences,2018-12-11,Songkhla Rajabhat University,
"Peer-Led Team Learning in General Chemistry I: Interactions with Identity, Academic Preparation, and a Course-Based Intervention","Robust evidence shows that Peer-Led Team Learning (PLTL) improves the academic success of first-year college students in introductory Science, Technology, Engineering, and Mathematics (STEM) courses. Less clear is the extent to which this positive PLTL effect varies across different subgroups of the population. The current study aims to deepen our understanding of the overall PLTL effect by extensively evaluating an optional PLTL program associated with General Chemistry I at a private, research university. Using five years of exam data, this study disaggregates the PLTL effect by demographics (sex and race), academic preparation (math skills, chemistry content knowledge, and experience with college-preparatory coursework), and participation in another curricular innovation (a growth-mindset intervention). Results revealed that the positive effect of PLTL was comparable across demographic identity groups. Thus, the PLTL program benefitted all participants but did not reduce the pre-existing performance disparity between underrepresented minority and white students (no sex-based disparity was observed). In terms of academic preparation, the PLTL effect interacted with students' level of experience with college-preparatory coursework but not with their math or chemistry knowledge. This pattern suggests that PLTL may help develop students' self-management or reasoning skills, without necessarily narrowing knowledge gaps. Finally, PLTL interacted with participation in a growth-mindset intervention: the difference between PLTL participants and nonparticipants was smaller among students who received the mindset intervention. Implications for chemical education researchers and practitioners are discussed, with an eye toward fostering equity in introductory STEM courses.",Frey R.; Fink A.; Cahill M.; McDaniel M.; Solomon E.,Journal,Journal of Chemical Education,2018-12-11,Washington University in St. Louis,Chemical Education Research ;  Collaborative/Cooperative Learning ;  Constructivism ;  First-Year Undergraduate/General
A review of eco-friendly functional road materials,"Extensive studies on traditional and novel engineering materials and the increasing demands by growing traffic have led to tremendous changes of the function of roads. Roads, as an important part of the human living environment, have evolved from structures that were designed and built for passing vehicles, to ecological assets with significant economic importance. In addition to structural stability and durability, functions such as noise reduction, urban heat island mitigation, de-icing and exhaust gas absorption, are also expected. This study focused on state-of-the-art research on the performance, applications and challenges of six environment-friendly functional road materials, namely the permeable asphalt concrete, noise-reducing pavement materials, low heat-absorbing pavement materials, exhaust gas-decomposing pavement materials, de-icing pavement materials, and energy harvesting pavement materials. With this study, we aim to provide references to the latest relevant literatures of the design and development of environment-friendly functional pavement, and promote innovation in materials science and pavement design principles. For this purpose, this review compiled extensive knowledge in modern road construction and related disciplines, in order to promote the development of modern pavement engineering technologies.",Jiang W.; Huang Y.; Sha A.,Journal,Construction and Building Materials,2018-12-10,Chang'an University;University of Leeds,Eco-friendly ;  Functional pavement ;  Road materials ;  Sustainable construction
Educational Games Based in Information Technology as Innovation Evaluation Activity in Learning,"Learning and including its evaluations must be implemented in an innovative and fun way. Student assumptions regarding frightening evaluation activities must be changed by packing them into an IT-based educational games. Based on the results of research and development of educational games that are suitable to be used as an evaluation tool in learning activities is an educational games with crossword and word square. In addition to its fairly simple appearance, this type of educational games is also easy to create and use.",Juliantari N.; Sudarsana I.; Sutriyanti N.; Temon Astawa I.; Hendrawathy Putri I.; Saddhono K.,Conference Proceeding,Journal of Physics: Conference Series,2018-12-07,Universitas Hindu Negeri I Gusti Bagus Sugriwa;Universitas Sebelas Maret;STKIP Agama Hindu Amlapura,
Innovation and technology diffusion in agricultural sector,"Technology utilization in agricultural sector has an impact on the improvement of the performance and provides various added-values. In order to give a greater influence of technology utilization, it is necessary to make a good process of innovation and technology diffusion for farmers. This article is based on the literature review. The purpose of this article is to describe the process of innovation and technology diffusion for farmers. Innovation is the process and / or the result of knowledge, skill and experience development, utilization / mobilization to create or improve a new product, a process and / or a system providing significant added-values. The process of innovation and technology adopted in agricultural sector generally includes several phases, namely: awareness, interest, evaluation, trial, adoption, and confirmation. This study recommends that the process of innovation and technology diffusion for farmers consider the aspects of community structure, culture, and farmer capacity.",Ainissyifa H.; Wulan E.; Muhyiddin A.; Ramdhani M.,Conference Proceeding,IOP Conference Series: Materials Science and Engineering,2018-12-05,Universitas Garut;UIN Sunan Gunung Djati,
Assessment of technology content level with integrated technometrics and Analytical Hierarchy Process (AHP) methods in small and medium enterprises,"This article aims to determine the level of technological content through the components of technology in Small and Medium Enterprises (SME). The method used is qualitative with approach method of Technometrics and Analytical Hierarchy Process (AHP). Technometrics methods are used to assess the contribution of technological components, i.e. technoware, humanware, infoware, and orgaware. While the AHP method is used to assess the normalization of the weighting of each criterion. The result of this research is got a value of the coefficient of technology contribution or Technology Contribution Coefficient (TCC) equal to 0.223. Based on the calculations, it shows that the technoware value is 0.188; humanware of 0. 260; infoware of 0.20 and orgaware of 0.11. With the value of TCC 0.223 or 0 <0.233 <0.3 so that it can be interpreted that the level of technology content of SMEs arjuna is traditional. Based on the measurement results seen that the lowest technological value found in orgaware, namely the attributes of competitiveness is still low. This is because there is no innovation and creativity model tile production Arjuna SMEs. Thus, for more improvement is emphasized to innovation and creativity in the process of making tile in SME Arjuna.",Sulistiyowati W.; Jakaria R.,Conference Proceeding,IOP Conference Series: Materials Science and Engineering,2018-12-05,Universitas Muhammadiyah Sidoarjo,
Parlour of food futures:future food forecasting as tarot prophecies,"In contemporary design research and practice, food is often seen as a problem to be fixed. Designers in the corporate startup realm as well as in academic HFI (Human-Food Interaction) have proposed various techno-solutions to curb complex food system issues such as malnutrition and environmental unsustainability. Quantified diet trackers, 'smart' kitchenware, food sharing apps and similar digital food technologies present opportunities for efficient food practices but also challenges to human-food relationship and social food traditions. The Parlour of Futures project reflects on these contradictions and addresses the growing trend of food-technology innovation through the lens of Speculative and Critical Design (SCD). The project takes the form of a traditional Tarot parlour where participants explore possible food-tech futures as prophecies. Through a bespoke Food Tarot cards deck presenting speculative food practices such as Monsanta[n]ism, Gut Gardening, or Turing Foodism, the project provokes playful food-tech imaginaries and future food scenarios. We discuss the opportunities of SCD in nurturing reflective food design and research, and invite OzCHI attendees to contribute their future food ideas during the Parlour demo session.",Dolejsova M.,Conference Proceeding,ACM International Conference Proceeding Series,2018-12-04,National University of Singapore,Food futures ;  Food technology innovation ;  Human food interaction ;  Speculative food design
UAV for Everyone : An Intuitive Control Alternative for Drone Racing Competitions,"As many technological innovations, the Unmanned Aerial Vehicles (UAV) were created for military purposes. However, these aircrafts are now a reality accessible for common civilians and are used to explore new possibilities in areas like cinema, photography or surveillance. The technology easily reached other application fields and turned into a new sports category as well, supported by many drone racing competitions that happen around the world. There are many alternatives to control a quadcopter, but the most accurate relies on a robust and heavy handheld remote controller that requires dexterity to be a good pilot. This limits the control of the UAV to users comfortable with this kind of interaction, discarding people with reduced fine motor skills, hand malformations or elders with low learning capacity from the possibility of piloting a quadcopter and participate in competition events. An alternative to these remote controllers should be developed to overpass the mentioned disadvantages. The solution proposed in this paper is an intuitive and accurate control system made of two small and lightweight wearable devices capable of detecting patterns based on motion events. These patterns are then sent to a mobile application responsible for controlling the drone. Wearing the described devices like a high-tech glove, the users can pilot the UAV through simple and intuitive upper limb movements, being the changes in the orientation of each device over time identified as a specific pattern. This solution presents a new approach to the control of UAV that improves the ease of piloting them and decreases the time that is required to learn how to handle them.",Ribeiro R.; Ramos J.; Safadinho D.; De Jesus Pereira A.,Conference Proceeding,"TISHW 2018 - 2nd International Conference on Technology and Innovation in Sports, Health and Wellbeing, Proceedings",2018-12-04,School of Technology and Management,health and wellbeing ;  Internet of Things ;  real-time systems ;  sports ;  Unmanned Aerial Vehicles ;  wearables ;  wireless communication technologies ;  Wireless Personal Area Networks
